Date,Albedo,Sources
8/31/2013,0.132265499,Albedo
9/30/2013,0.131908938,Albedo
10/31/2013,0.127056544,Albedo
11/30/2013,0.124221061,Albedo
12/31/2013,0.122088424,Albedo
1/31/2014,0.121366027,Albedo
2/28/2014,0.112901243,Albedo
3/31/2014,0.111940956,Albedo
4/30/2014,0.118537224,Albedo
5/31/2014,0.127719269,Albedo
6/30/2014,0.132431548,Albedo
7/31/2014,0.133679723,Albedo
8/31/2014,0.131117165,Albedo
9/30/2014,0.130328648,Albedo
10/31/2014,0.125730577,Albedo
11/30/2014,0.115294698,Albedo
12/31/2014,0.103550007,Albedo
1/31/2015,0.105214247,Albedo
2/28/2015,0.11112536,Albedo
3/31/2015,0.118628419,Albedo
4/30/2015,0.123181229,Albedo
5/31/2015,0.126339407,Albedo
6/30/2015,0.128407389,Albedo
7/31/2015,0.130838761,Albedo
8/31/2015,0.132960425,Albedo
9/30/2015,0.129905813,Albedo
10/31/2015,0.127278012,Albedo
11/30/2015,0.118550118,Albedo
12/31/2015,0.110812843,Albedo
1/31/2016,0.103110881,Albedo
2/29/2016,0.108634288,Albedo
3/31/2016,0.111573979,Albedo
4/30/2016,0.121656231,Albedo
5/31/2016,0.124044198,Albedo
6/30/2016,0.126498415,Albedo
7/31/2016,0.12999816,Albedo
8/31/2016,0.133503536,Albedo
9/30/2016,0.134231179,Albedo
10/31/2016,0.129575831,Albedo
11/30/2016,0.113555346,Albedo
12/31/2016,0.109611601,Albedo
1/31/2017,0.111649247,Albedo
2/28/2017,0.108697897,Albedo
3/31/2017,0.113905441,Albedo
4/30/2017,0.119459759,Albedo
5/31/2017,0.12660242,Albedo
6/30/2017,0.131580783,Albedo
7/31/2017,0.134361202,Albedo
8/31/2017,0.138050147,Albedo
9/30/2017,0.138284991,Albedo
10/31/2017,0.136716853,Albedo
11/30/2017,0.121788304,Albedo
12/31/2017,0.11560593,Albedo
1/31/2018,0.110686553,Albedo
2/28/2018,0.113422189,Albedo
3/31/2018,0.120612703,Albedo
4/30/2018,0.1201722,Albedo
5/31/2018,0.130415062,Albedo
6/30/2018,0.132324589,Albedo
7/31/2018,0.137894827,Albedo
8/31/2018,0.138983147,Albedo
9/30/2018,0.14148198,Albedo
10/31/2018,0.135629145,Albedo
11/30/2018,0.109436695,Albedo
12/31/2018,0.086998062,Albedo
1/31/2019,0.089034525,Albedo
2/28/2019,0.102594732,Albedo
3/31/2019,0.10117738,Albedo
4/30/2019,0.10835408,Albedo
5/31/2019,0.117269235,Albedo
6/30/2019,0.118622092,Albedo
7/31/2019,0.127021608,Albedo
8/31/2019,0.132694467,Albedo
9/30/2019,0.131484562,Albedo
10/31/2019,0.130496862,Albedo
11/30/2019,0.133160091,Albedo
12/31/2019,0.107396127,Albedo
1/31/2020,0.103681179,Albedo
2/29/2020,0.111511777,Albedo
3/31/2020,0.11832192,Albedo
4/30/2020,0.120009467,Albedo
5/31/2020,0.129215879,Albedo
6/30/2020,0.126777598,Albedo
7/31/2020,0.132359847,Albedo
8/31/2020,0.13573817,Albedo
9/30/2020,0.136901002,Albedo
10/31/2020,0.129953554,Albedo
11/30/2020,0.128352878,Albedo
12/31/2020,0.123532185,Albedo
1/31/2021,0.112209057,Albedo
2/28/2021,0.111473178,Albedo
3/31/2021,0.123634684,Albedo
4/30/2021,0.126985627,Albedo
5/31/2021,0.135716354,Albedo
6/30/2021,0.139740293,Albedo
7/31/2021,0.140382743,Albedo
8/31/2021,0.141287739,Albedo
9/30/2021,0.139114533,Albedo
10/31/2021,0.131781839,Albedo
11/30/2021,0.114849893,Albedo
12/31/2021,0.135523948,Albedo
1/31/2022,0.119390143,Albedo
2/28/2022,0.118837528,Albedo
3/31/2022,0.124417562,Albedo
4/30/2022,0.12888193,Albedo
5/31/2022,0.131398419,Albedo
6/30/2022,0.130492597,Albedo
7/31/2022,0.136765507,Albedo
8/31/2022,0.140008519,Albedo
9/30/2022,0.136706919,Albedo
10/31/2022,0.131553935,Albedo
11/30/2022,0.130498121,Albedo
