Date,NDVI,Source
3/31/2020,0.557622377,NDVI
4/30/2020,0.601180581,NDVI
5/31/2020,0.573114199,NDVI
6/30/2020,0.531836189,NDVI
7/31/2020,0.490962729,NDVI
8/31/2020,0.472411113,NDVI
9/30/2020,0.449953205,NDVI
10/31/2020,0.447641615,NDVI
11/30/2020,0.4673868,NDVI
12/31/2020,0.486862682,NDVI
1/31/2021,0.486960538,NDVI
2/28/2021,0.553990103,NDVI
3/31/2021,0.564767136,NDVI
4/30/2021,0.574976718,NDVI
5/31/2021,0.542593412,NDVI
6/30/2021,0.501435851,NDVI
7/31/2021,0.470304254,NDVI
8/31/2021,0.461323573,NDVI
9/30/2021,0.467311251,NDVI
10/31/2021,0.505175985,NDVI
11/30/2021,0.544664998,NDVI
12/31/2021,0.539052632,NDVI
1/31/2022,0.584157597,NDVI
2/28/2022,0.562639677,NDVI
3/31/2022,0.587380654,NDVI
4/30/2022,0.580070396,NDVI
5/31/2022,0.565324523,NDVI
6/30/2022,0.541601238,NDVI
7/31/2022,0.504218534,NDVI
8/31/2022,0.478469424,NDVI
9/30/2022,0.506858312,NDVI
10/31/2022,0.540773909,NDVI
11/30/2022,0.559441635,NDVI
