date,source,SSH (m)
03/1998,Barystatic,0.149637
03/1998,Steric,0.310404
04/1998,Total,0.539083
04/1998,Barystatic,0.212982
04/1998,Steric,0.326101
05/1998,Total,0.657591
05/1998,Barystatic,0.310561
05/1998,Steric,0.347030
06/1998,Total,0.867283
06/1998,Barystatic,0.494968
06/1998,Steric,0.372315
07/1998,Total,0.835728
07/1998,Barystatic,0.442087
07/1998,Steric,0.393641
08/1998,Total,0.822561
08/1998,Barystatic,0.402415
08/1998,Steric,0.420145
09/1998,Total,0.793571
09/1998,Barystatic,0.352425
09/1998,Steric,0.441146
10/1998,Total,0.811585
10/1998,Barystatic,0.362246
10/1998,Steric,0.449340
11/1998,Total,0.836038
11/1998,Barystatic,0.399914
11/1998,Steric,0.436124
12/1998,Total,0.759519
12/1998,Barystatic,0.359144
12/1998,Steric,0.400375
01/1999,Total,0.640564
01/1999,Barystatic,0.282199
01/1999,Steric,0.358365
02/1999,Total,0.592995
02/1999,Barystatic,0.257413
02/1999,Steric,0.335582
03/1999,Total,0.568361
03/1999,Barystatic,0.226233
03/1999,Steric,0.342127
04/1999,Total,0.675571
04/1999,Barystatic,0.314680
04/1999,Steric,0.360891
05/1999,Total,0.777231
05/1999,Barystatic,0.399061
05/1999,Steric,0.378170
06/1999,Total,0.783689
06/1999,Barystatic,0.390603
06/1999,Steric,0.393086
07/1999,Total,0.760010
07/1999,Barystatic,0.350023
07/1999,Steric,0.409987
08/1999,Total,0.809316
08/1999,Barystatic,0.387521
08/1999,Steric,0.421795
09/1999,Total,0.749566
09/1999,Barystatic,0.313410
09/1999,Steric,0.436157
10/1999,Total,0.760807
10/1999,Barystatic,0.323071
10/1999,Steric,0.437737
11/1999,Total,0.779032
11/1999,Barystatic,0.359130
11/1999,Steric,0.419902
12/1999,Total,0.705124
12/1999,Barystatic,0.317824
12/1999,Steric,0.387300
01/2000,Total,0.592594
01/2000,Barystatic,0.239982
01/2000,Steric,0.352612
02/2000,Total,0.514366
02/2000,Barystatic,0.180579
02/2000,Steric,0.333788
03/2000,Total,0.571867
03/2000,Barystatic,0.239153
03/2000,Steric,0.332715
04/2000,Total,0.663702
04/2000,Barystatic,0.311660
04/2000,Steric,0.352042
05/2000,Total,0.757059
05/2000,Barystatic,0.384023
05/2000,Steric,0.373036
06/2000,Total,0.796245
06/2000,Barystatic,0.403859
06/2000,Steric,0.392386
07/2000,Total,0.834792
07/2000,Barystatic,0.416875
07/2000,Steric,0.417917
08/2000,Total,0.830623
08/2000,Barystatic,0.389243
08/2000,Steric,0.441380
09/2000,Total,0.786119
09/2000,Barystatic,0.334237
09/2000,Steric,0.451881
10/2000,Total,0.754085
10/2000,Barystatic,0.302208
10/2000,Steric,0.451876
11/2000,Total,0.759057
11/2000,Barystatic,0.325446
11/2000,Steric,0.433611
12/2000,Total,0.683437
12/2000,Barystatic,0.296694
12/2000,Steric,0.386743
01/2001,Total,0.591172
01/2001,Barystatic,0.244557
01/2001,Steric,0.346615
02/2001,Total,0.557367
02/2001,Barystatic,0.224948
02/2001,Steric,0.332419
03/2001,Total,0.578535
03/2001,Barystatic,0.235558
03/2001,Steric,0.342977
04/2001,Total,0.601194
04/2001,Barystatic,0.239901
04/2001,Steric,0.361293
05/2001,Total,0.726589
05/2001,Barystatic,0.345722
05/2001,Steric,0.380867
06/2001,Total,0.811385
06/2001,Barystatic,0.411689
06/2001,Steric,0.399696
07/2001,Total,0.835123
07/2001,Barystatic,0.415740
07/2001,Steric,0.419383
08/2001,Total,0.831718
08/2001,Barystatic,0.393466
08/2001,Steric,0.438252
09/2001,Total,0.782275
09/2001,Barystatic,0.336398
09/2001,Steric,0.445877
10/2001,Total,0.785190
10/2001,Barystatic,0.333423
10/2001,Steric,0.451767
11/2001,Total,0.787741
11/2001,Barystatic,0.352012
11/2001,Steric,0.435729
12/2001,Total,0.707068
12/2001,Barystatic,0.312415
12/2001,Steric,0.394653
01/2002,Total,0.545559
01/2002,Barystatic,0.188699
01/2002,Steric,0.356860
02/2002,Total,0.471113
02/2002,Barystatic,0.134727
02/2002,Steric,0.336386
03/2002,Total,0.551888
03/2002,Barystatic,0.209370
03/2002,Steric,0.342518
04/2002,Total,0.608361
04/2002,Barystatic,0.251058
04/2002,Steric,0.357303
05/2002,Total,0.686829
05/2002,Barystatic,0.314327
05/2002,Steric,0.372502
06/2002,Total,0.779095
06/2002,Barystatic,0.389385
06/2002,Steric,0.389710
07/2002,Total,0.786937
07/2002,Barystatic,0.376687
07/2002,Steric,0.410250
08/2002,Total,0.818426
08/2002,Barystatic,0.394435
08/2002,Steric,0.423991
09/2002,Total,0.739371
09/2002,Barystatic,0.303665
09/2002,Steric,0.435706
10/2002,Total,0.713215
10/2002,Barystatic,0.274844
10/2002,Steric,0.438371
11/2002,Total,0.687533
11/2002,Barystatic,0.273754
11/2002,Steric,0.413779
12/2002,Total,0.652146
12/2002,Barystatic,0.269279
12/2002,Steric,0.382867
01/2003,Total,0.604400
01/2003,Barystatic,0.262484
01/2003,Steric,0.341916
02/2003,Total,0.532105
02/2003,Barystatic,0.204397
02/2003,Steric,0.327708
03/2003,Total,0.510703
03/2003,Barystatic,0.178610
03/2003,Steric,0.332093
04/2003,Total,0.559304
04/2003,Barystatic,0.208736
04/2003,Steric,0.350568
05/2003,Total,0.718161
05/2003,Barystatic,0.348875
05/2003,Steric,0.369286
06/2003,Total,0.781244
06/2003,Barystatic,0.397506
06/2003,Steric,0.383738
07/2003,Total,0.736027
07/2003,Barystatic,0.330516
07/2003,Steric,0.405510
08/2003,Total,0.803340
08/2003,Barystatic,0.371953
08/2003,Steric,0.431387
09/2003,Total,0.787799
09/2003,Barystatic,0.342982
09/2003,Steric,0.444817
10/2003,Total,0.736695
10/2003,Barystatic,0.290536
10/2003,Steric,0.446159
11/2003,Total,0.712199
11/2003,Barystatic,0.299213
11/2003,Steric,0.412987
12/2003,Total,0.709194
12/2003,Barystatic,0.330629
12/2003,Steric,0.378565
01/2004,Total,0.573666
01/2004,Barystatic,0.230267
01/2004,Steric,0.343399
02/2004,Total,0.481097
02/2004,Barystatic,0.157109
02/2004,Steric,0.323989
03/2004,Total,0.552905
03/2004,Barystatic,0.217897
03/2004,Steric,0.335008
04/2004,Total,0.635225
04/2004,Barystatic,0.283767
04/2004,Steric,0.351458
05/2004,Total,0.737266
05/2004,Barystatic,0.367782
05/2004,Steric,0.369484
06/2004,Total,0.843743
06/2004,Barystatic,0.457023
06/2004,Steric,0.386720
07/2004,Total,0.836774
07/2004,Barystatic,0.430027
07/2004,Steric,0.406747
08/2004,Total,0.821462
08/2004,Barystatic,0.392188
08/2004,Steric,0.429274
09/2004,Total,0.769187
09/2004,Barystatic,0.326452
09/2004,Steric,0.442735
10/2004,Total,0.726623
10/2004,Barystatic,0.283133
10/2004,Steric,0.443490
11/2004,Total,0.652822
11/2004,Barystatic,0.248176
11/2004,Steric,0.404646
12/2004,Total,0.666626
12/2004,Barystatic,0.293361
12/2004,Steric,0.373265
01/2005,Total,0.587229
01/2005,Barystatic,0.248980
01/2005,Steric,0.338250
02/2005,Total,0.523665
02/2005,Barystatic,0.203109
02/2005,Steric,0.320556
03/2005,Total,0.517616
03/2005,Barystatic,0.180947
03/2005,Steric,0.336669
04/2005,Total,0.606480
04/2005,Barystatic,0.254260
04/2005,Steric,0.352220
05/2005,Total,0.708549
05/2005,Barystatic,0.341539
05/2005,Steric,0.367010
06/2005,Total,0.803153
06/2005,Barystatic,0.417902
06/2005,Steric,0.385251
07/2005,Total,0.843697
07/2005,Barystatic,0.442828
07/2005,Steric,0.400869
08/2005,Total,0.796584
08/2005,Barystatic,0.377230
08/2005,Steric,0.419354
09/2005,Total,0.794001
09/2005,Barystatic,0.363621
09/2005,Steric,0.430380
10/2005,Total,0.770802
10/2005,Barystatic,0.342051
10/2005,Steric,0.428750
11/2005,Total,0.789228
11/2005,Barystatic,0.383352
11/2005,Steric,0.405876
12/2005,Total,0.790169
12/2005,Barystatic,0.420479
12/2005,Steric,0.369690
01/2006,Total,0.653417
01/2006,Barystatic,0.314435
01/2006,Steric,0.338982
02/2006,Total,0.562370
02/2006,Barystatic,0.233900
02/2006,Steric,0.328469
03/2006,Total,0.525781
03/2006,Barystatic,0.187419
03/2006,Steric,0.338362
04/2006,Total,0.642459
04/2006,Barystatic,0.295895
04/2006,Steric,0.346564
05/2006,Total,0.765401
05/2006,Barystatic,0.402756
05/2006,Steric,0.362645
06/2006,Total,0.775382
06/2006,Barystatic,0.394178
06/2006,Steric,0.381203
07/2006,Total,0.801992
07/2006,Barystatic,0.402669
07/2006,Steric,0.399324
08/2006,Total,0.803968
08/2006,Barystatic,0.394183
08/2006,Steric,0.409785
09/2006,Total,0.702334
09/2006,Barystatic,0.275361
09/2006,Steric,0.426972
10/2006,Total,0.687498
10/2006,Barystatic,0.258267
10/2006,Steric,0.429231
11/2006,Total,0.620738
11/2006,Barystatic,0.222641
11/2006,Steric,0.398097
12/2006,Total,0.564730
12/2006,Barystatic,0.209354
12/2006,Steric,0.355377
01/2007,Total,0.508368
01/2007,Barystatic,0.186700
01/2007,Steric,0.321668
02/2007,Total,0.505458
02/2007,Barystatic,0.190723
02/2007,Steric,0.314735
03/2007,Total,0.470791
03/2007,Barystatic,0.153794
03/2007,Steric,0.316997
04/2007,Total,0.617816
04/2007,Barystatic,0.282897
04/2007,Steric,0.334920
05/2007,Total,0.759010
05/2007,Barystatic,0.405191
05/2007,Steric,0.353819
06/2007,Total,0.765379
06/2007,Barystatic,0.389143
06/2007,Steric,0.376236
07/2007,Total,0.800507
07/2007,Barystatic,0.400830
07/2007,Steric,0.399677
08/2007,Total,0.809444
08/2007,Barystatic,0.392726
08/2007,Steric,0.416718
09/2007,Total,0.786393
09/2007,Barystatic,0.354096
09/2007,Steric,0.432297
10/2007,Total,0.741271
10/2007,Barystatic,0.310484
10/2007,Steric,0.430787
11/2007,Total,0.819482
11/2007,Barystatic,0.407199
11/2007,Steric,0.412283
12/2007,Total,0.691520
12/2007,Barystatic,0.316174
12/2007,Steric,0.375346
01/2008,Total,0.654659
01/2008,Barystatic,0.316933
01/2008,Steric,0.337726
02/2008,Total,0.578503
02/2008,Barystatic,0.259508
02/2008,Steric,0.318995
03/2008,Total,0.650024
03/2008,Barystatic,0.321348
03/2008,Steric,0.328676
04/2008,Total,0.709247
04/2008,Barystatic,0.365777
04/2008,Steric,0.343470
05/2008,Total,0.773370
05/2008,Barystatic,0.409154
05/2008,Steric,0.364216
06/2008,Total,0.745722
06/2008,Barystatic,0.363099
06/2008,Steric,0.382623
07/2008,Total,0.770899
07/2008,Barystatic,0.365256
07/2008,Steric,0.405643
08/2008,Total,0.836919
08/2008,Barystatic,0.406977
08/2008,Steric,0.429942
09/2008,Total,0.776101
09/2008,Barystatic,0.332395
09/2008,Steric,0.443707
10/2008,Total,0.744037
10/2008,Barystatic,0.317026
10/2008,Steric,0.427011
11/2008,Total,0.775149
11/2008,Barystatic,0.375862
11/2008,Steric,0.399287
12/2008,Total,0.760812
12/2008,Barystatic,0.388370
12/2008,Steric,0.372442
01/2009,Total,0.640640
01/2009,Barystatic,0.304095
01/2009,Steric,0.336545
02/2009,Total,0.529736
02/2009,Barystatic,0.202621
02/2009,Steric,0.327115
03/2009,Total,0.619205
03/2009,Barystatic,0.278793
03/2009,Steric,0.340412
04/2009,Total,0.686023
04/2009,Barystatic,0.329633
04/2009,Steric,0.356390
05/2009,Total,0.778700
05/2009,Barystatic,0.406280
05/2009,Steric,0.372419
06/2009,Total,0.810913
06/2009,Barystatic,0.423753
06/2009,Steric,0.387160
07/2009,Total,0.832736
07/2009,Barystatic,0.428950
07/2009,Steric,0.403787
08/2009,Total,0.763961
08/2009,Barystatic,0.346313
08/2009,Steric,0.417648
09/2009,Total,0.793038
09/2009,Barystatic,0.360341
09/2009,Steric,0.432697
10/2009,Total,0.753394
10/2009,Barystatic,0.324934
10/2009,Steric,0.428460
11/2009,Total,0.710400
11/2009,Barystatic,0.315688
11/2009,Steric,0.394712
12/2009,Total,0.694492
12/2009,Barystatic,0.338811
12/2009,Steric,0.355681
01/2010,Total,0.594433
01/2010,Barystatic,0.283059
01/2010,Steric,0.311374
02/2010,Total,0.518296
02/2010,Barystatic,0.217865
02/2010,Steric,0.300430
03/2010,Total,0.545140
03/2010,Barystatic,0.217822
03/2010,Steric,0.327318
04/2010,Total,0.672995
04/2010,Barystatic,0.320821
04/2010,Steric,0.352174
05/2010,Total,0.756458
05/2010,Barystatic,0.386079
05/2010,Steric,0.370379
06/2010,Total,0.802445
06/2010,Barystatic,0.416547
06/2010,Steric,0.385898
07/2010,Total,0.819068
07/2010,Barystatic,0.411963
07/2010,Steric,0.407105
08/2010,Total,0.870156
08/2010,Barystatic,0.448087
08/2010,Steric,0.422068
09/2010,Total,0.869708
09/2010,Barystatic,0.434404
09/2010,Steric,0.435304
10/2010,Total,0.924338
10/2010,Barystatic,0.487466
10/2010,Steric,0.436872
11/2010,Total,0.862591
11/2010,Barystatic,0.443291
11/2010,Steric,0.419299
12/2010,Total,0.810337
12/2010,Barystatic,0.433125
12/2010,Steric,0.377212
01/2011,Total,0.718022
01/2011,Barystatic,0.390098
01/2011,Steric,0.327924
02/2011,Total,0.609908
02/2011,Barystatic,0.299945
02/2011,Steric,0.309963
03/2011,Total,0.615022
03/2011,Barystatic,0.296360
03/2011,Steric,0.318662
04/2011,Total,0.668693
04/2011,Barystatic,0.327116
04/2011,Steric,0.341577
05/2011,Total,0.733887
05/2011,Barystatic,0.371253
05/2011,Steric,0.362634
06/2011,Total,0.761711
06/2011,Barystatic,0.382259
06/2011,Steric,0.379452
07/2011,Total,0.810754
07/2011,Barystatic,0.413396
07/2011,Steric,0.397358
08/2011,Total,0.797892
08/2011,Barystatic,0.375553
08/2011,Steric,0.422338
09/2011,Total,0.747600
09/2011,Barystatic,0.308553
09/2011,Steric,0.439047
10/2011,Total,0.761133
10/2011,Barystatic,0.327194
10/2011,Steric,0.433938
11/2011,Total,0.714132
11/2011,Barystatic,0.308057
11/2011,Steric,0.406074
12/2011,Total,0.696479
12/2011,Barystatic,0.326924
12/2011,Steric,0.369554
01/2012,Total,0.665400
01/2012,Barystatic,0.330930
01/2012,Steric,0.334469
02/2012,Total,0.545527
02/2012,Barystatic,0.233921
02/2012,Steric,0.311606
03/2012,Total,0.579967
03/2012,Barystatic,0.248391
03/2012,Steric,0.331576
04/2012,Total,0.702474
04/2012,Barystatic,0.351033
04/2012,Steric,0.351440
05/2012,Total,0.730182
05/2012,Barystatic,0.361973
05/2012,Steric,0.368209
06/2012,Total,0.821721
06/2012,Barystatic,0.436524
06/2012,Steric,0.385197
07/2012,Total,0.828784
07/2012,Barystatic,0.428386
07/2012,Steric,0.400398
08/2012,Total,0.807795
08/2012,Barystatic,0.389159
08/2012,Steric,0.418635
09/2012,Total,0.774383
09/2012,Barystatic,0.338085
09/2012,Steric,0.436298
10/2012,Total,0.739120
10/2012,Barystatic,0.304914
10/2012,Steric,0.434206
11/2012,Total,0.739676
11/2012,Barystatic,0.339308
11/2012,Steric,0.400368
12/2012,Total,0.686407
12/2012,Barystatic,0.339175
12/2012,Steric,0.347232
01/2013,Total,0.609341
01/2013,Barystatic,0.305385
01/2013,Steric,0.303956
02/2013,Total,0.580745
02/2013,Barystatic,0.291837
02/2013,Steric,0.288908
03/2013,Total,0.587833
03/2013,Barystatic,0.287955
03/2013,Steric,0.299877
04/2013,Total,0.622890
04/2013,Barystatic,0.296556
04/2013,Steric,0.326335
05/2013,Total,0.814601
05/2013,Barystatic,0.469608
05/2013,Steric,0.344994
06/2013,Total,0.874337
06/2013,Barystatic,0.507584
06/2013,Steric,0.366753
07/2013,Total,0.883998
07/2013,Barystatic,0.488908
07/2013,Steric,0.395090
08/2013,Total,0.872246
08/2013,Barystatic,0.459395
08/2013,Steric,0.412852
09/2013,Total,0.802599
09/2013,Barystatic,0.377886
09/2013,Steric,0.424713
10/2013,Total,0.771704
10/2013,Barystatic,0.344165
10/2013,Steric,0.427539
11/2013,Total,0.700475
11/2013,Barystatic,0.306784
11/2013,Steric,0.393691
12/2013,Total,0.713012
12/2013,Barystatic,0.356269
12/2013,Steric,0.356743
01/2014,Total,0.647172
01/2014,Barystatic,0.330409
01/2014,Steric,0.316763
02/2014,Total,0.512813
02/2014,Barystatic,0.203645
02/2014,Steric,0.309168
03/2014,Total,0.457390
03/2014,Barystatic,0.138059
03/2014,Steric,0.319331
04/2014,Total,0.527867
04/2014,Barystatic,0.187442
04/2014,Steric,0.340424
05/2014,Total,0.741267
05/2014,Barystatic,0.384389
05/2014,Steric,0.356878
06/2014,Total,0.847841
06/2014,Barystatic,0.465596
06/2014,Steric,0.382245
07/2014,Total,0.931049
07/2014,Barystatic,0.532041
07/2014,Steric,0.399008
08/2014,Total,0.858672
08/2014,Barystatic,0.443419
08/2014,Steric,0.415253
09/2014,Total,0.779707
09/2014,Barystatic,0.340875
09/2014,Steric,0.438832
10/2014,Total,0.781828
10/2014,Barystatic,0.338048
10/2014,Steric,0.443779
11/2014,Total,0.799054
11/2014,Barystatic,0.380063
11/2014,Steric,0.418990
12/2014,Total,0.768997
12/2014,Barystatic,0.394942
12/2014,Steric,0.374054
01/2015,Total,0.728187
01/2015,Barystatic,0.388114
01/2015,Steric,0.340073
02/2015,Total,0.569906
02/2015,Barystatic,0.253813
02/2015,Steric,0.316093
03/2015,Total,0.566205
03/2015,Barystatic,0.236491
03/2015,Steric,0.329714
04/2015,Total,0.636917
04/2015,Barystatic,0.287838
04/2015,Steric,0.349079
05/2015,Total,0.734930
05/2015,Barystatic,0.370257
05/2015,Steric,0.364673
06/2015,Total,0.838550
06/2015,Barystatic,0.454335
06/2015,Steric,0.384215
07/2015,Total,0.810511
07/2015,Barystatic,0.408828
07/2015,Steric,0.401683
08/2015,Total,0.825183
08/2015,Barystatic,0.400987
08/2015,Steric,0.424196
09/2015,Total,0.804150
09/2015,Barystatic,0.356079
09/2015,Steric,0.448071
10/2015,Total,0.791214
10/2015,Barystatic,0.340800
10/2015,Steric,0.450414
11/2015,Total,0.704162
11/2015,Barystatic,0.288044
11/2015,Steric,0.416118
12/2015,Total,0.684598
12/2015,Barystatic,0.309516
12/2015,Steric,0.375082
01/2016,Total,0.609481
01/2016,Barystatic,0.275874
01/2016,Steric,0.333607
02/2016,Total,0.566455
02/2016,Barystatic,0.239832
02/2016,Steric,0.326623
03/2016,Total,0.595619
03/2016,Barystatic,0.252474
03/2016,Steric,0.343145
04/2016,Total,0.680145
04/2016,Barystatic,0.322215
04/2016,Steric,0.357929
05/2016,Total,0.739628
05/2016,Barystatic,0.368957
05/2016,Steric,0.370671
06/2016,Total,0.917156
06/2016,Barystatic,0.536056
06/2016,Steric,0.381100
07/2016,Total,0.907101
07/2016,Barystatic,0.508588
07/2016,Steric,0.398513
08/2016,Total,0.868987
08/2016,Barystatic,0.445771
08/2016,Steric,0.423216
09/2016,Total,0.902232
09/2016,Barystatic,0.460988
09/2016,Steric,0.441244
10/2016,Total,0.876233
10/2016,Barystatic,0.427788
10/2016,Steric,0.448445
11/2016,Total,0.848095
11/2016,Barystatic,0.421781
11/2016,Steric,0.426314
12/2016,Total,0.789364
12/2016,Barystatic,0.402246
12/2016,Steric,0.387118
01/2017,Total,0.671831
01/2017,Barystatic,0.331371
01/2017,Steric,0.340460
02/2017,Total,0.606154
02/2017,Barystatic,0.286737
02/2017,Steric,0.319417
03/2017,Total,0.572187
03/2017,Barystatic,0.241125
03/2017,Steric,0.331062
04/2017,Total,0.666827
04/2017,Barystatic,0.316544
04/2017,Steric,0.350283
05/2017,Total,0.742678
05/2017,Barystatic,0.371433
05/2017,Steric,0.371245
06/2017,Total,0.875270
06/2017,Barystatic,0.489790
06/2017,Steric,0.385480
07/2017,Total,0.840810
07/2017,Barystatic,0.448177
07/2017,Steric,0.392633
08/2017,Total,0.833296
08/2017,Barystatic,0.415880
08/2017,Steric,0.417416
09/2017,Total,0.844355
09/2017,Barystatic,0.405020
09/2017,Steric,0.439335
10/2017,Total,0.875089
10/2017,Barystatic,0.425155
10/2017,Steric,0.449934
11/2017,Total,0.818989
11/2017,Barystatic,0.384543
11/2017,Steric,0.434447
12/2017,Total,0.788192
12/2017,Barystatic,0.395372
12/2017,Steric,0.392820
