Date,p_type,value
2006-2,Poverty 0-5%,0.1081027074
2006-03,Poverty 0-5%,0.1880143914
2006-04,Poverty 0-5%,0.2226552296
2006-05,Poverty 0-5%,0.1663892717
2006-06,Poverty 0-5%,0.2858030141
2006-07,Poverty 0-5%,0.3528300137
2006-08,Poverty 0-5%,0.2723859271
2006-09,Poverty 0-5%,0.199600441
2006-10,Poverty 0-5%,0.1708607068
2006-11,Poverty 0-5%,0.08838416735
2006-12,Poverty 0-5%,0.07391030231
2007-1,Poverty 0-5%,0.0876369853
2007-2,Poverty 0-5%,0.09044921176
2007-3,Poverty 0-5%,0.1531951354
2007-04,Poverty 0-5%,0.1705080946
2007-05,Poverty 0-5%,0.3089213986
2007-06,Poverty 0-5%,0.3379667038
2007-07,Poverty 0-5%,0.3766595102
2007-08,Poverty 0-5%,0.3718729061
2007-09,Poverty 0-5%,0.2472790658
2007-10,Poverty 0-5%,0.104828013
2007-11,Poverty 0-5%,0.2036504641
2007-12,Poverty 0-5%,0.08007008002
2008-1,Poverty 0-5%,0.0828355373
2008-2,Poverty 0-5%,0.108300668
2008-3,Poverty 0-5%,0.1535560521
2008-04,Poverty 0-5%,0.1573241064
2008-05,Poverty 0-5%,0.1985472025
2008-06,Poverty 0-5%,0.3174571653
2008-07,Poverty 0-5%,0.2276671412
2008-08,Poverty 0-5%,0.3185295637
2008-09,Poverty 0-5%,0.1948448648
2008-10,Poverty 0-5%,0.117090867
2008-11,Poverty 0-5%,0.1121230229
2008-12,Poverty 0-5%,0.0517056377
2009-01,Poverty 0-5%,0.074432563
2009-2,Poverty 0-5%,0.0915776139
2009-3,Poverty 0-5%,0.1497236695
2009-4,Poverty 0-5%,0.1275510929
2009-05,Poverty 0-5%,0.1908254963
2009-06,Poverty 0-5%,0.2354813632
2009-07,Poverty 0-5%,0.2769630187
2009-08,Poverty 0-5%,0.2805249217
2009-09,Poverty 0-5%,0.4609222601
2009-10,Poverty 0-5%,0.1172200627
2009-11,Poverty 0-5%,0.1010209335
2009-12,Poverty 0-5%,0.06588217025
2010-01,Poverty 0-5%,0.05851429758
2010-2,Poverty 0-5%,0.1113011662
2010-3,Poverty 0-5%,0.1545484346
2010-4,Poverty 0-5%,0.1409622105
2010-05,Poverty 0-5%,0.2281905314
2010-06,Poverty 0-5%,0.298697853
2010-07,Poverty 0-5%,0.3437501884
2010-08,Poverty 0-5%,0.2726634758
2010-09,Poverty 0-5%,0.1979410601
2010-10,Poverty 0-5%,0.1270453525
2010-11,Poverty 0-5%,0.09550033342
2010-12,Poverty 0-5%,0.1093800243
2011-01,Poverty 0-5%,0.08421690503
2011-02,Poverty 0-5%,0.09565680468
2011-3,Poverty 0-5%,0.1414772049
2011-4,Poverty 0-5%,0.1845265481
2011-5,Poverty 0-5%,0.1946042667
2011-06,Poverty 0-5%,0.2859036965
2011-07,Poverty 0-5%,0.3164896198
2011-08,Poverty 0-5%,0.2645144143
2011-09,Poverty 0-5%,0.2175138094
2011-10,Poverty 0-5%,0.1133494386
2011-11,Poverty 0-5%,0.09452346152
2011-12,Poverty 0-5%,0.1384748108
2012-01,Poverty 0-5%,0.07499473536
2012-02,Poverty 0-5%,0.1553209913
2012-3,Poverty 0-5%,0.1006411478
2012-4,Poverty 0-5%,0.1605119923
2012-5,Poverty 0-5%,0.2995581709
2012-06,Poverty 0-5%,0.3292128376
2012-07,Poverty 0-5%,0.3068227492
2012-08,Poverty 0-5%,0.266806222
2012-09,Poverty 0-5%,0.1895373998
2012-10,Poverty 0-5%,0.151298136
2012-11,Poverty 0-5%,0.09028578302
2012-12,Poverty 0-5%,0.07123439409
2013-01,Poverty 0-5%,0.1004383566
2013-02,Poverty 0-5%,0.09623853519
2013-03,Poverty 0-5%,0.1363524747
2013-4,Poverty 0-5%,0.1884905267
2013-5,Poverty 0-5%,0.1854806778
2013-6,Poverty 0-5%,0.2285411245
2013-07,Poverty 0-5%,0.3071886607
2013-08,Poverty 0-5%,0.3013681905
2013-09,Poverty 0-5%,0.2018790552
2013-10,Poverty 0-5%,0.1163641164
2013-11,Poverty 0-5%,0.1120832295
2013-12,Poverty 0-5%,0.07705738497
2014-01,Poverty 0-5%,0.05593574078
2014-02,Poverty 0-5%,0.1337505115
2014-03,Poverty 0-5%,0.1657485941
2014-4,Poverty 0-5%,0.1563094473
2014-5,Poverty 0-5%,0.1625569323
2014-6,Poverty 0-5%,0.2412089582
2014-07,Poverty 0-5%,0.3540486352
2014-08,Poverty 0-5%,0.3068971379
2014-09,Poverty 0-5%,0.2821758456
2014-10,Poverty 0-5%,0.1257391166
2014-11,Poverty 0-5%,0.07688190444
2014-12,Poverty 0-5%,0.1182056554
2015-01,Poverty 0-5%,0.07907852803
2015-02,Poverty 0-5%,0.1461929247
2015-03,Poverty 0-5%,0.141294102
2015-04,Poverty 0-5%,0.1789820048
2015-5,Poverty 0-5%,0.2450496863
2015-6,Poverty 0-5%,0.3045071003
2015-7,Poverty 0-5%,0.2792761027
2015-08,Poverty 0-5%,0.2533842363
2015-09,Poverty 0-5%,0.2178316439
2015-10,Poverty 0-5%,0.1208950694
2015-11,Poverty 0-5%,0.1018860654
2015-12,Poverty 0-5%,0.09810367986
2016-01,Poverty 0-5%,0.07583879459
2016-02,Poverty 0-5%,0.0901005734
2016-03,Poverty 0-5%,0.1408080193
2016-04,Poverty 0-5%,0.1639619035
2016-5,Poverty 0-5%,0.1815178233
2016-6,Poverty 0-5%,0.2862880615
2016-7,Poverty 0-5%,0.3223848229
2016-08,Poverty 0-5%,0.2657981476
2016-09,Poverty 0-5%,0.2119902223
2016-10,Poverty 0-5%,0.1265333634
2016-11,Poverty 0-5%,0.1084805423
2016-12,Poverty 0-5%,0.1303830002
2017-01,Poverty 0-5%,0.0637756554
2017-02,Poverty 0-5%,0.1339849454
2017-03,Poverty 0-5%,0.1541262836
2017-04,Poverty 0-5%,0.1402946495
2017-05,Poverty 0-5%,0.1290472332
2017-6,Poverty 0-5%,0.312027476
2017-7,Poverty 0-5%,0.308588627
2017-8,Poverty 0-5%,0.291067313
2017-09,Poverty 0-5%,0.2762318528
2017-10,Poverty 0-5%,0.1274148359
2017-11,Poverty 0-5%,0.1293608745
2017-12,Poverty 0-5%,0.07389577756
2018-01,Poverty 0-5%,0.08803332288
2018-02,Poverty 0-5%,0.3210509275
2018-03,Poverty 0-5%,0.1398776308
2018-04,Poverty 0-5%,0.1665307383
2018-05,Poverty 0-5%,0.2171733031
2018-6,Poverty 0-5%,0.3094372547
2018-7,Poverty 0-5%,0.3071028295
2018-8,Poverty 0-5%,0.293942796
2018-09,Poverty 0-5%,0.2126439514
2018-10,Poverty 0-5%,0.1216933478
2018-11,Poverty 0-5%,0.09753883619
2018-12,Poverty 0-5%,0.07029436131
2019-01,Poverty 0-5%,0.1036023417
2019-02,Poverty 0-5%,0.1178327103
2019-03,Poverty 0-5%,0.1220689363
2019-04,Poverty 0-5%,0.1079881951
2019-05,Poverty 0-5%,0.2398942864
2019-06,Poverty 0-5%,0.2166177371
2019-7,Poverty 0-5%,0.2372417408
2019-8,Poverty 0-5%,0.3548920784
2019-9,Poverty 0-5%,0.2280263576
2019-10,Poverty 0-5%,0.1619613684
2019-11,Poverty 0-5%,0.1015730739
2019-12,Poverty 0-5%,0.06871402057
2000-02,Poverty 5-10%,0.05225518987
2000-03,Poverty 5-10%,0.1152406687
2000-04,Poverty 5-10%,0.1393174877
2000-05,Poverty 5-10%,0.2351819485
2000-06,Poverty 5-10%,0.2668245455
2000-07,Poverty 5-10%,0.167894969
2000-08,Poverty 5-10%,0.2864406916
2000-09,Poverty 5-10%,0.1989485466
2000-10,Poverty 5-10%,0.2068584145
2000-11,Poverty 5-10%,0.1014171838
2000-12,Poverty 5-10%,0.07768273505
2001-01,Poverty 5-10%,0.1073061722
2001-02,Poverty 5-10%,0.1194744465
2001-03,Poverty 5-10%,0.1325242362
2001-04,Poverty 5-10%,0.2113760653
2001-05,Poverty 5-10%,0.2453648661
2001-06,Poverty 5-10%,0.3585750684
2001-07,Poverty 5-10%,0.265108959
2001-08,Poverty 5-10%,0.2962156425
2001-09,Poverty 5-10%,0.1424499514
2001-10,Poverty 5-10%,0.09587758778
2001-11,Poverty 5-10%,0.1704303073
2001-12,Poverty 5-10%,0.07029284087
2002-01,Poverty 5-10%,0.07556766027
2002-02,Poverty 5-10%,0.08404544261
2002-03,Poverty 5-10%,0.108365258
2002-04,Poverty 5-10%,0.2500832897
2002-05,Poverty 5-10%,0.204412486
2002-06,Poverty 5-10%,0.4064613154
2002-07,Poverty 5-10%,0.3314647757
2002-08,Poverty 5-10%,0.3649344628
2002-09,Poverty 5-10%,0.2979216773
2002-10,Poverty 5-10%,0.1388911821
2002-11,Poverty 5-10%,0.08121325529
2002-12,Poverty 5-10%,0.08953090439
2003-1,Poverty 5-10%,0.09120403914
2003-02,Poverty 5-10%,0.1014445168
2003-03,Poverty 5-10%,0.1417804353
2003-04,Poverty 5-10%,0.165308176
2003-05,Poverty 5-10%,0.2838576741
2003-06,Poverty 5-10%,0.2820846528
2003-07,Poverty 5-10%,0.31500215
2003-08,Poverty 5-10%,0.369412947
2003-09,Poverty 5-10%,0.2016255697
2003-10,Poverty 5-10%,0.1099222034
2003-11,Poverty 5-10%,0.1170184174
2003-12,Poverty 5-10%,0.0806680895
2004-1,Poverty 5-10%,0.09012209785
2004-02,Poverty 5-10%,0.1486253263
2004-03,Poverty 5-10%,0.1246825293
2004-04,Poverty 5-10%,0.1798932038
2004-05,Poverty 5-10%,0.1982667768
2004-06,Poverty 5-10%,0.3413397205
2004-07,Poverty 5-10%,0.2919185303
2004-08,Poverty 5-10%,0.2584894238
2004-09,Poverty 5-10%,0.2281562911
2004-10,Poverty 5-10%,0.1614751502
2004-11,Poverty 5-10%,0.07442351092
2004-12,Poverty 5-10%,0.06723998558
2005-1,Poverty 5-10%,0.0922766744
2005-2,Poverty 5-10%,0.1580284141
2005-03,Poverty 5-10%,0.1242842124
2005-04,Poverty 5-10%,0.1408120108
2005-05,Poverty 5-10%,0.2616097845
2005-06,Poverty 5-10%,0.2942330746
2005-07,Poverty 5-10%,0.2946339745
2005-08,Poverty 5-10%,0.3047728685
2005-09,Poverty 5-10%,0.2753218408
2005-10,Poverty 5-10%,0.1354163219
2005-11,Poverty 5-10%,0.08711022894
2005-12,Poverty 5-10%,0.09067154362
2006-1,Poverty 5-10%,0.08011064191
2006-2,Poverty 5-10%,0.1123059202
2006-03,Poverty 5-10%,0.1824086487
2006-04,Poverty 5-10%,0.227318964
2006-05,Poverty 5-10%,0.1724779946
2006-06,Poverty 5-10%,0.2819015426
2006-07,Poverty 5-10%,0.3479089657
2006-08,Poverty 5-10%,0.2779845308
2006-09,Poverty 5-10%,0.1962062156
2006-10,Poverty 5-10%,0.1714977601
2006-11,Poverty 5-10%,0.08728285023
2006-12,Poverty 5-10%,0.07186818954
2007-1,Poverty 5-10%,0.09367952694
2007-2,Poverty 5-10%,0.09624168329
2007-3,Poverty 5-10%,0.1572636048
2007-04,Poverty 5-10%,0.1775427268
2007-05,Poverty 5-10%,0.3120131876
2007-06,Poverty 5-10%,0.3413269999
2007-07,Poverty 5-10%,0.3824182536
2007-08,Poverty 5-10%,0.3651504118
2007-09,Poverty 5-10%,0.2442665896
2007-10,Poverty 5-10%,0.1067914863
2007-11,Poverty 5-10%,0.2085739035
2007-12,Poverty 5-10%,0.08550239678
2008-1,Poverty 5-10%,0.08537599328
2008-2,Poverty 5-10%,0.1131545093
2008-3,Poverty 5-10%,0.1539799759
2008-04,Poverty 5-10%,0.1526841713
2008-05,Poverty 5-10%,0.2040328312
2008-06,Poverty 5-10%,0.3188145345
2008-07,Poverty 5-10%,0.2296954311
2008-08,Poverty 5-10%,0.3128134795
2008-09,Poverty 5-10%,0.19525874
2008-10,Poverty 5-10%,0.1185303266
2008-11,Poverty 5-10%,0.1128662847
2008-12,Poverty 5-10%,0.05263850886
2009-01,Poverty 5-10%,0.07643866476
2009-2,Poverty 5-10%,0.09223920115
2009-3,Poverty 5-10%,0.1565872724
2009-4,Poverty 5-10%,0.1284015701
2009-05,Poverty 5-10%,0.1934241726
2009-06,Poverty 5-10%,0.2358994561
2009-07,Poverty 5-10%,0.2774248184
2009-08,Poverty 5-10%,0.274780306
2009-09,Poverty 5-10%,0.4536395092
2009-10,Poverty 5-10%,0.1198081276
2009-11,Poverty 5-10%,0.1017783829
2009-12,Poverty 5-10%,0.06880181733
2010-01,Poverty 5-10%,0.06095054367
2010-2,Poverty 5-10%,0.1152781942
2010-3,Poverty 5-10%,0.1529746323
2010-4,Poverty 5-10%,0.1393280543
2010-05,Poverty 5-10%,0.2271215252
2010-06,Poverty 5-10%,0.313191662
2010-07,Poverty 5-10%,0.3514644987
2010-08,Poverty 5-10%,0.2723825466
2010-09,Poverty 5-10%,0.1985297402
2010-10,Poverty 5-10%,0.1276523074
2010-11,Poverty 5-10%,0.09672219018
2010-12,Poverty 5-10%,0.1130740962
2011-01,Poverty 5-10%,0.08808699347
2011-02,Poverty 5-10%,0.09512516474
2011-3,Poverty 5-10%,0.1394542685
2011-4,Poverty 5-10%,0.1821008759
2011-5,Poverty 5-10%,0.1919049
2011-06,Poverty 5-10%,0.2819273706
2011-07,Poverty 5-10%,0.3207787418
2011-08,Poverty 5-10%,0.2617788557
2011-09,Poverty 5-10%,0.216457111
2011-10,Poverty 5-10%,0.1184567182
2011-11,Poverty 5-10%,0.0995655903
2011-12,Poverty 5-10%,0.1455036718
2012-01,Poverty 5-10%,0.07992035596
2012-02,Poverty 5-10%,0.1653296631
2012-3,Poverty 5-10%,0.1038587187
2012-4,Poverty 5-10%,0.1645189066
2012-5,Poverty 5-10%,0.2966802219
2012-06,Poverty 5-10%,0.3241054621
2012-07,Poverty 5-10%,0.3031042814
2012-08,Poverty 5-10%,0.2656792179
2012-09,Poverty 5-10%,0.1968028026
2012-10,Poverty 5-10%,0.1513674743
2012-11,Poverty 5-10%,0.09433827309
2012-12,Poverty 5-10%,0.07443337203
2013-01,Poverty 5-10%,0.1039453881
2013-02,Poverty 5-10%,0.09881039366
2013-03,Poverty 5-10%,0.1386430453
2013-4,Poverty 5-10%,0.1936184897
2013-5,Poverty 5-10%,0.1897784392
2013-6,Poverty 5-10%,0.2300751181
2013-07,Poverty 5-10%,0.2975513793
2013-08,Poverty 5-10%,0.3016612835
2013-09,Poverty 5-10%,0.2048803377
2013-10,Poverty 5-10%,0.1218085722
2013-11,Poverty 5-10%,0.1156216111
2013-12,Poverty 5-10%,0.07911910971
2014-01,Poverty 5-10%,0.05599177677
2014-02,Poverty 5-10%,0.1429169086
2014-03,Poverty 5-10%,0.1740495076
2014-4,Poverty 5-10%,0.1551241928
2014-5,Poverty 5-10%,0.1624817356
2014-6,Poverty 5-10%,0.2408317941
2014-07,Poverty 5-10%,0.3583891804
2014-08,Poverty 5-10%,0.3139174888
2014-09,Poverty 5-10%,0.2828397913
2014-10,Poverty 5-10%,0.1291975541
2014-11,Poverty 5-10%,0.07872831068
2014-12,Poverty 5-10%,0.1128109969
2015-01,Poverty 5-10%,0.08257103593
2015-02,Poverty 5-10%,0.1476798366
2015-03,Poverty 5-10%,0.1480520874
2015-04,Poverty 5-10%,0.1794516637
2015-5,Poverty 5-10%,0.2536186232
2015-6,Poverty 5-10%,0.2961941716
2015-7,Poverty 5-10%,0.2667895582
2015-08,Poverty 5-10%,0.2499568663
2015-09,Poverty 5-10%,0.2134578736
2015-10,Poverty 5-10%,0.120084466
2015-11,Poverty 5-10%,0.09899300722
2015-12,Poverty 5-10%,0.09708024885
2016-01,Poverty 5-10%,0.07583114881
2016-02,Poverty 5-10%,0.08832768023
2016-03,Poverty 5-10%,0.1389869889
2016-04,Poverty 5-10%,0.1619985172
2016-5,Poverty 5-10%,0.1877630156
2016-6,Poverty 5-10%,0.2856578768
2016-7,Poverty 5-10%,0.321566561
2016-08,Poverty 5-10%,0.2644289826
2016-09,Poverty 5-10%,0.2136794343
2016-10,Poverty 5-10%,0.1251066656
2016-11,Poverty 5-10%,0.1032910419
2016-12,Poverty 5-10%,0.1358638678
2017-01,Poverty 5-10%,0.06607444014
2017-02,Poverty 5-10%,0.1328909266
2017-03,Poverty 5-10%,0.1611076686
2017-04,Poverty 5-10%,0.1396144074
2017-05,Poverty 5-10%,0.1287243978
2017-6,Poverty 5-10%,0.3137252909
2017-7,Poverty 5-10%,0.3080885911
2017-8,Poverty 5-10%,0.2997353409
2017-09,Poverty 5-10%,0.2785477713
2017-10,Poverty 5-10%,0.1305845681
2017-11,Poverty 5-10%,0.1283860162
2017-12,Poverty 5-10%,0.07797702996
2018-01,Poverty 5-10%,0.09251473256
2018-02,Poverty 5-10%,0.3355749277
2018-03,Poverty 5-10%,0.1401417859
2018-04,Poverty 5-10%,0.1644323606
2018-05,Poverty 5-10%,0.2134562788
2018-6,Poverty 5-10%,0.3040159188
2018-7,Poverty 5-10%,0.3074138811
2018-8,Poverty 5-10%,0.293537981
2018-09,Poverty 5-10%,0.2234323188
2018-10,Poverty 5-10%,0.1173572163
2018-11,Poverty 5-10%,0.09789293292
2018-12,Poverty 5-10%,0.07175743744
2019-01,Poverty 5-10%,0.1060747494
2019-02,Poverty 5-10%,0.1191951714
2019-03,Poverty 5-10%,0.1155321682
2019-04,Poverty 5-10%,0.1073317971
2019-05,Poverty 5-10%,0.2399350182
2019-06,Poverty 5-10%,0.2245004981
2019-7,Poverty 5-10%,0.2390466633
2019-8,Poverty 5-10%,0.3576641522
2019-9,Poverty 5-10%,0.2337430873
2019-10,Poverty 5-10%,0.1658995299
2019-11,Poverty 5-10%,0.101231182
2019-12,Poverty 5-10%,0.06849717021
2000-02,Poverty 10-15%,0.05812661738
2000-03,Poverty 10-15%,0.1125491687
2000-04,Poverty 10-15%,0.1287390849
2000-05,Poverty 10-15%,0.2263424637
2000-06,Poverty 10-15%,0.2547590929
2000-07,Poverty 10-15%,0.1546343146
2000-08,Poverty 10-15%,0.2641673517
2000-09,Poverty 10-15%,0.187785598
2000-10,Poverty 10-15%,0.213785508
2000-11,Poverty 10-15%,0.1043491495
2000-12,Poverty 10-15%,0.07899977426
2001-01,Poverty 10-15%,0.1051799951
2001-02,Poverty 10-15%,0.1214097631
2001-03,Poverty 10-15%,0.1335864418
2001-04,Poverty 10-15%,0.2170938993
2001-05,Poverty 10-15%,0.2285109755
2001-06,Poverty 10-15%,0.3616425656
2001-07,Poverty 10-15%,0.2568999142
2001-08,Poverty 10-15%,0.2992236438
2001-09,Poverty 10-15%,0.1435437261
2001-10,Poverty 10-15%,0.09239919413
2001-11,Poverty 10-15%,0.1638798069
2001-12,Poverty 10-15%,0.06715318267
2002-01,Poverty 10-15%,0.07311768379
2002-02,Poverty 10-15%,0.08290646746
2002-03,Poverty 10-15%,0.1134038641
2002-04,Poverty 10-15%,0.2739547081
2002-05,Poverty 10-15%,0.1885434257
2002-06,Poverty 10-15%,0.4408158116
2002-07,Poverty 10-15%,0.3311393802
2002-08,Poverty 10-15%,0.3589378919
2002-09,Poverty 10-15%,0.298234164
2002-10,Poverty 10-15%,0.1425554886
2002-11,Poverty 10-15%,0.07801174756
2002-12,Poverty 10-15%,0.08954099458
2003-1,Poverty 10-15%,0.09237263052
2003-02,Poverty 10-15%,0.1019976846
2003-03,Poverty 10-15%,0.1447673691
2003-04,Poverty 10-15%,0.1640021167
2003-05,Poverty 10-15%,0.2801883279
2003-06,Poverty 10-15%,0.2697505772
2003-07,Poverty 10-15%,0.3079047914
2003-08,Poverty 10-15%,0.3685173299
2003-09,Poverty 10-15%,0.2046749239
2003-10,Poverty 10-15%,0.1089278597
2003-11,Poverty 10-15%,0.1103314775
2003-12,Poverty 10-15%,0.07946776778
2004-1,Poverty 10-15%,0.09223530234
2004-02,Poverty 10-15%,0.1512269215
2004-03,Poverty 10-15%,0.1282058262
2004-04,Poverty 10-15%,0.1720739363
2004-05,Poverty 10-15%,0.2048579602
2004-06,Poverty 10-15%,0.339567809
2004-07,Poverty 10-15%,0.2781060285
2004-08,Poverty 10-15%,0.2565109581
2004-09,Poverty 10-15%,0.2346865871
2004-10,Poverty 10-15%,0.1576652805
2004-11,Poverty 10-15%,0.07233689809
2004-12,Poverty 10-15%,0.06387540818
2005-1,Poverty 10-15%,0.09011788303
2005-2,Poverty 10-15%,0.1630106414
2005-03,Poverty 10-15%,0.1229284174
2005-04,Poverty 10-15%,0.1450098087
2005-05,Poverty 10-15%,0.2639397522
2005-06,Poverty 10-15%,0.2834355467
2005-07,Poverty 10-15%,0.2919088725
2005-08,Poverty 10-15%,0.3097975985
2005-09,Poverty 10-15%,0.272220476
2005-10,Poverty 10-15%,0.1292366573
2005-11,Poverty 10-15%,0.08269062263
2005-12,Poverty 10-15%,0.09250242926
2006-1,Poverty 10-15%,0.07775342221
2006-2,Poverty 10-15%,0.1072596806
2006-03,Poverty 10-15%,0.1855406037
2006-04,Poverty 10-15%,0.2242709939
2006-05,Poverty 10-15%,0.1652147404
2006-06,Poverty 10-15%,0.2697609754
2006-07,Poverty 10-15%,0.3437162483
2006-08,Poverty 10-15%,0.2803341645
2006-09,Poverty 10-15%,0.1992846991
2006-10,Poverty 10-15%,0.1741891953
2006-11,Poverty 10-15%,0.08301430511
2006-12,Poverty 10-15%,0.06804551788
2007-1,Poverty 10-15%,0.09396988272
2007-2,Poverty 10-15%,0.09549965392
2007-3,Poverty 10-15%,0.1562512862
2007-04,Poverty 10-15%,0.1776199099
2007-05,Poverty 10-15%,0.308015455
2007-06,Poverty 10-15%,0.3481715053
2007-07,Poverty 10-15%,0.3879552295
2007-08,Poverty 10-15%,0.3605635761
2007-09,Poverty 10-15%,0.2463571758
2007-10,Poverty 10-15%,0.1025184896
2007-11,Poverty 10-15%,0.2041824896
2007-12,Poverty 10-15%,0.08525292482
2008-1,Poverty 10-15%,0.08584516622
2008-2,Poverty 10-15%,0.110512922
2008-3,Poverty 10-15%,0.1492081585
2008-04,Poverty 10-15%,0.1492950389
2008-05,Poverty 10-15%,0.1945907015
2008-06,Poverty 10-15%,0.3136170338
2008-07,Poverty 10-15%,0.2106167161
2008-08,Poverty 10-15%,0.3069753571
2008-09,Poverty 10-15%,0.1923118796
2008-10,Poverty 10-15%,0.1174684963
2008-11,Poverty 10-15%,0.1094643773
2008-12,Poverty 10-15%,0.04931686261
2009-01,Poverty 10-15%,0.07326244588
2009-2,Poverty 10-15%,0.08812530966
2009-3,Poverty 10-15%,0.15406281
2009-4,Poverty 10-15%,0.1283918428
2009-05,Poverty 10-15%,0.1959740378
2009-06,Poverty 10-15%,0.2300298057
2009-07,Poverty 10-15%,0.267597171
2009-08,Poverty 10-15%,0.26665451
2009-09,Poverty 10-15%,0.4507334398
2009-10,Poverty 10-15%,0.1175193379
2009-11,Poverty 10-15%,0.1001859261
2009-12,Poverty 10-15%,0.0676245554
2010-01,Poverty 10-15%,0.0593228738
2010-2,Poverty 10-15%,0.1150829117
2010-3,Poverty 10-15%,0.153538696
2010-4,Poverty 10-15%,0.1392285599
2010-05,Poverty 10-15%,0.2288135699
2010-06,Poverty 10-15%,0.3194629821
2010-07,Poverty 10-15%,0.347999357
2010-08,Poverty 10-15%,0.2730713932
2010-09,Poverty 10-15%,0.200694689
2010-10,Poverty 10-15%,0.1236727025
2010-11,Poverty 10-15%,0.09271797409
2010-12,Poverty 10-15%,0.1148982843
2011-01,Poverty 10-15%,0.08815810067
2011-02,Poverty 10-15%,0.09317804113
2011-3,Poverty 10-15%,0.1367409089
2011-4,Poverty 10-15%,0.1797443871
2011-5,Poverty 10-15%,0.1928701254
2011-06,Poverty 10-15%,0.2803617062
2011-07,Poverty 10-15%,0.3211933458
2011-08,Poverty 10-15%,0.2573719756
2011-09,Poverty 10-15%,0.2160185829
2011-10,Poverty 10-15%,0.1167584253
2011-11,Poverty 10-15%,0.1014604063
2011-12,Poverty 10-15%,0.151049552
2012-01,Poverty 10-15%,0.07723214203
2012-02,Poverty 10-15%,0.168418283
2012-3,Poverty 10-15%,0.1048078483
2012-4,Poverty 10-15%,0.168168548
2012-5,Poverty 10-15%,0.3005870309
2012-06,Poverty 10-15%,0.3213924685
2012-07,Poverty 10-15%,0.3018653808
2012-08,Poverty 10-15%,0.2628063702
2012-09,Poverty 10-15%,0.1936064886
2012-10,Poverty 10-15%,0.1482255586
2012-11,Poverty 10-15%,0.09429524411
2012-12,Poverty 10-15%,0.07455077994
2013-01,Poverty 10-15%,0.1017866677
2013-02,Poverty 10-15%,0.1001649669
2013-03,Poverty 10-15%,0.1405874783
2013-4,Poverty 10-15%,0.1899593941
