date,daily_precipitation,source
3/19/23,2.03,Precipitation
3/20/23,1.5,Precipitation
3/21/23,64.23,Precipitation
3/22/23,24.89,Precipitation
3/23/23,0.25,Precipitation
3/24/23,0,Precipitation
3/25/23,0,Precipitation
3/26/23,0,Precipitation
3/27/23,0,Precipitation
3/28/23,0,Precipitation
3/29/23,33,Precipitation
3/30/23,45.21,Precipitation
3/31/23,0.51,Precipitation
4/1/23,0,Precipitation
4/2/23,0,Precipitation
4/3/23,0.25,Precipitation
4/4/23,0,Precipitation
4/5/23,0,Precipitation
4/6/23,0,Precipitation
4/7/23,0,Precipitation
4/8/23,0,Precipitation
4/9/23,0,Precipitation
4/10/23,0,Precipitation
4/11/23,0,Precipitation
4/12/23,0,Precipitation
4/13/23,0.5,Precipitation
4/14/23,1.77,Precipitation
4/15/23,0,Precipitation
4/16/23,0,Precipitation
4/17/23,0,Precipitation
4/18/23,0,Precipitation
4/19/23,0,Precipitation
4/20/23,0,Precipitation
4/21/23,0,Precipitation
4/22/23,0,Precipitation
4/23/23,0,Precipitation
4/24/23,0,Precipitation
4/25/23,0,Precipitation
4/26/23,0,Precipitation
4/27/23,0,Precipitation
4/28/23,0,Precipitation
4/29/23,0,Precipitation
4/30/23,0,Precipitation
5/1/23,1.51,Precipitation
5/2/23,0,Precipitation
5/3/23,0,Precipitation
5/4/23,12.4,Precipitation
5/5/23,2.03,Precipitation
5/6/23,0,Precipitation
5/7/23,0,Precipitation
5/8/23,0,Precipitation
5/9/23,0,Precipitation
5/10/23,0,Precipitation
5/11/23,0,Precipitation
5/12/23,0,Precipitation
5/13/23,0,Precipitation
5/14/23,0,Precipitation
5/15/23,0,Precipitation
5/16/23,0,Precipitation
5/17/23,0,Precipitation
5/18/23,0,Precipitation
5/19/23,0,Precipitation
5/20/23,0,Precipitation
5/21/23,0,Precipitation
5/22/23,0,Precipitation
5/23/23,0.5,Precipitation
5/24/23,0,Precipitation
5/25/23,0.25,Precipitation
5/26/23,0,Precipitation
5/27/23,0,Precipitation
5/28/23,0,Precipitation
5/29/23,0,Precipitation
5/30/23,0,Precipitation
5/31/23,0,Precipitation
6/1/23,0,Precipitation
6/2/23,0,Precipitation
6/3/23,0,Precipitation
6/4/23,0,Precipitation
6/5/23,0,Precipitation
6/6/23,0,Precipitation
6/7/23,0,Precipitation
6/8/23,0,Precipitation
6/9/23,0,Precipitation
6/10/23,0.25,Precipitation
6/11/23,0,Precipitation
6/12/23,0,Precipitation
6/13/23,0,Precipitation
6/14/23,0,Precipitation
6/15/23,0,Precipitation
6/16/23,0,Precipitation
6/17/23,0,Precipitation
6/18/23,0,Precipitation
6/19/23,0,Precipitation
6/20/23,0,Precipitation
6/21/23,0,Precipitation
6/22/23,0,Precipitation
6/23/23,0,Precipitation
6/24/23,0,Precipitation
6/25/23,0,Precipitation
6/26/23,0,Precipitation
6/27/23,0,Precipitation
6/28/23,0,Precipitation
6/29/23,0,Precipitation
6/30/23,0,Precipitation
7/1/23,0,Precipitation
7/2/23,0,Precipitation
7/3/23,0,Precipitation
7/4/23,0,Precipitation
7/5/23,0,Precipitation
7/6/23,0,Precipitation
7/7/23,0,Precipitation
7/8/23,0,Precipitation
7/9/23,0,Precipitation
7/10/23,0,Precipitation
7/11/23,0,Precipitation
7/12/23,0,Precipitation
7/13/23,0,Precipitation
7/14/23,0,Precipitation
7/15/23,0,Precipitation
7/16/23,0,Precipitation
7/17/23,0,Precipitation
7/18/23,0,Precipitation
7/19/23,0,Precipitation
7/20/23,0,Precipitation
7/21/23,0,Precipitation
7/22/23,0,Precipitation
7/23/23,0,Precipitation
7/24/23,0,Precipitation
7/25/23,0,Precipitation
7/26/23,0,Precipitation
7/27/23,0,Precipitation
7/28/23,0,Precipitation
7/29/23,0,Precipitation
7/30/23,0,Precipitation
7/31/23,0,Precipitation
8/1/23,0,Precipitation
8/2/23,0,Precipitation
8/3/23,0,Precipitation
8/4/23,0,Precipitation
8/5/23,0,Precipitation
8/6/23,0,Precipitation
8/7/23,0,Precipitation
8/8/23,0,Precipitation
8/9/23,0,Precipitation
8/10/23,0,Precipitation
8/11/23,0,Precipitation
8/12/23,0,Precipitation
8/13/23,0,Precipitation
8/14/23,0,Precipitation
8/15/23,0,Precipitation
8/16/23,1.27,Precipitation
8/17/23,0,Precipitation
8/18/23,0,Precipitation
8/19/23,0,Precipitation
8/20/23,152.12,Precipitation
8/21/23,59.44,Precipitation
8/22/23,0,Precipitation
8/23/23,0,Precipitation
8/24/23,0,Precipitation
8/25/23,0,Precipitation
8/26/23,0,Precipitation
8/27/23,0,Precipitation
8/28/23,0,Precipitation
8/29/23,0,Precipitation
8/30/23,0,Precipitation
8/31/23,0,Precipitation
9/1/23,0,Precipitation
9/2/23,1.02,Precipitation
9/3/23,0,Precipitation
9/4/23,0,Precipitation
9/5/23,0,Precipitation
9/6/23,0,Precipitation
9/7/23,0,Precipitation
9/8/23,0,Precipitation
9/9/23,0,Precipitation
9/10/23,0,Precipitation
9/11/23,0,Precipitation
9/12/23,0,Precipitation
9/13/23,0,Precipitation
9/14/23,0,Precipitation
9/15/23,0,Precipitation
9/16/23,0,Precipitation
9/17/23,0.76,Precipitation
9/18/23,0,Precipitation
9/19/23,0,Precipitation
9/20/23,0,Precipitation
9/21/23,0,Precipitation
9/22/23,0,Precipitation
9/23/23,0,Precipitation
9/24/23,0,Precipitation
9/25/23,0,Precipitation
9/26/23,0,Precipitation
9/27/23,0,Precipitation
9/28/23,0,Precipitation
9/29/23,0,Precipitation
9/30/23,0,Precipitation
10/1/23,0,Precipitation
10/2/23,0,Precipitation
10/3/23,0,Precipitation
10/4/23,0,Precipitation
10/5/23,0,Precipitation
10/6/23,0,Precipitation
10/7/23,0,Precipitation
10/8/23,0,Precipitation
10/9/23,0,Precipitation
10/10/23,0,Precipitation
10/11/23,0,Precipitation
10/12/23,0,Precipitation
10/13/23,0,Precipitation
10/14/23,0,Precipitation
10/15/23,0,Precipitation
10/16/23,0,Precipitation
10/17/23,0,Precipitation
10/18/23,0,Precipitation
10/19/23,0,Precipitation
10/20/23,0,Precipitation
10/21/23,0,Precipitation
10/22/23,0,Precipitation
10/23/23,0,Precipitation
10/24/23,0,Precipitation
10/25/23,0,Precipitation
10/26/23,0,Precipitation
10/27/23,0,Precipitation
10/28/23,0,Precipitation
10/29/23,0,Precipitation
10/30/23,0,Precipitation
10/31/23,0,Precipitation
11/1/23,0,Precipitation
11/2/23,0,Precipitation
11/3/23,0,Precipitation
11/4/23,0,Precipitation
11/5/23,0,Precipitation
11/6/23,0,Precipitation
11/7/23,0,Precipitation
11/8/23,0,Precipitation
11/9/23,0,Precipitation
11/10/23,0,Precipitation
11/11/23,0,Precipitation
11/12/23,0,Precipitation
11/13/23,0,Precipitation
11/14/23,0,Precipitation
11/15/23,2.78,Precipitation
11/16/23,3.55,Precipitation
11/17/23,0,Precipitation
11/18/23,2.53,Precipitation
11/19/23,0,Precipitation
11/20/23,0,Precipitation
11/21/23,0,Precipitation
11/22/23,0,Precipitation
11/23/23,0,Precipitation
11/24/23,0,Precipitation
11/25/23,0,Precipitation
11/26/23,0,Precipitation
11/27/23,0,Precipitation
11/28/23,0,Precipitation
11/29/23,0,Precipitation
11/30/23,0,Precipitation
12/1/23,0,Precipitation
12/2/23,0,Precipitation
12/3/23,0,Precipitation
12/4/23,0,Precipitation
12/5/23,0,Precipitation
12/6/23,0,Precipitation
12/7/23,0,Precipitation
12/8/23,0,Precipitation
12/9/23,0,Precipitation
12/10/23,0,Precipitation
12/11/23,0,Precipitation
12/12/23,0,Precipitation
12/13/23,0,Precipitation
12/14/23,0,Precipitation
12/15/23,0,Precipitation
12/16/23,0,Precipitation
12/17/23,0,Precipitation
12/18/23,0,Precipitation
12/19/23,0.5,Precipitation
12/20/23,60.67,Precipitation
12/21/23,73.35,Precipitation
12/22/23,32.77,Precipitation
12/23/23,0,Precipitation
12/24/23,0,Precipitation
12/25/23,0,Precipitation
12/26/23,0,Precipitation
12/27/23,0,Precipitation
12/28/23,0,Precipitation
12/29/23,0,Precipitation
12/30/23,29.98,Precipitation
12/31/23,0,Precipitation
1/1/24,0,Precipitation
1/2/24,0,Precipitation
1/3/24,21.85,Precipitation
1/4/24,0,Precipitation
1/5/24,0,Precipitation
1/6/24,0,Precipitation
1/7/24,0,Precipitation
1/8/24,0,Precipitation
1/9/24,0,Precipitation
1/10/24,0,Precipitation
1/11/24,0,Precipitation
1/12/24,0,Precipitation
1/13/24,0,Precipitation
1/14/24,0,Precipitation
1/15/24,0,Precipitation
1/16/24,0,Precipitation
1/17/24,0,Precipitation
1/18/24,0,Precipitation
1/19/24,0,Precipitation
1/20/24,10.93,Precipitation
1/21/24,16.51,Precipitation
1/22/24,56.08,Precipitation
1/23/24,12.45,Precipitation
1/24/24,0,Precipitation
1/25/24,1.27,Precipitation
1/26/24,0,Precipitation
1/27/24,0,Precipitation
1/28/24,0,Precipitation
1/29/24,0,Precipitation
1/30/24,0,Precipitation
1/31/24,0,Precipitation
2/1/24,118.34,Precipitation
2/2/24,6.1,Precipitation
2/3/24,0,Precipitation
2/4/24,29.44,Precipitation
2/5/24,230.14,Precipitation
2/6/24,55.06,Precipitation
2/7/24,16.74,Precipitation
2/8/24,14.97,Precipitation
2/9/24,0.25,Precipitation
2/10/24,0,Precipitation
2/11/24,0,Precipitation
2/12/24,0,Precipitation
2/13/24,0,Precipitation
2/14/24,0,Precipitation
2/15/24,0,Precipitation
2/16/24,0,Precipitation
2/17/24,0,Precipitation
2/18/24,0.5,Precipitation
2/19/24,40.86,Precipitation
2/20/24,46.23,Precipitation
2/21/24,15.22,Precipitation
2/22/24,0,Precipitation
2/23/24,0,Precipitation
2/24/24,0,Precipitation
2/25/24,0,Precipitation
2/26/24,0.25,Precipitation
2/27/24,1.26,Precipitation
2/28/24,0,Precipitation
2/29/24,0,Precipitation
3/1/24,0,Precipitation
3/2/24,11.91,Precipitation
3/3/24,3.29,Precipitation
3/4/24,0,Precipitation
3/5/24,0,Precipitation
3/6/24,5.84,Precipitation
3/7/24,28.71,Precipitation
3/8/24,0.76,Precipitation
3/9/24,0,Precipitation
3/10/24,0,Precipitation
3/11/24,0,Precipitation
3/12/24,0,Precipitation
3/13/24,0,Precipitation
3/14/24,0,Precipitation
3/15/24,0,Precipitation
3/16/24,0,Precipitation
3/17/24,0,Precipitation
3/18/24,0,Precipitation
3/19/24,0,Precipitation
3/20/24,0,Precipitation
3/21/24,0,Precipitation
3/22/24,0,Precipitation
3/23/24,26.89,Precipitation
3/24/24,11.17,Precipitation
3/25/24,0,Precipitation
3/26/24,0,Precipitation
3/27/24,0,Precipitation
3/28/24,0,Precipitation
3/29/24,0,Precipitation
3/30/24,90.41,Precipitation
3/31/24,9.64,Precipitation
4/1/24,0,Precipitation
4/2/24,0,Precipitation
4/3/24,0,Precipitation
4/4/24,0,Precipitation
4/5/24,6.58,Precipitation
4/6/24,0,Precipitation
4/7/24,0,Precipitation
4/8/24,0,Precipitation
4/9/24,0,Precipitation
4/10/24,0,Precipitation
4/11/24,0,Precipitation
4/12/24,0,Precipitation
4/13/24,0,Precipitation
4/14/24,28.7,Precipitation
4/15/24,1.01,Precipitation
4/16/24,0,Precipitation
4/17/24,0,Precipitation
4/18/24,0,Precipitation
4/19/24,0,Precipitation
4/20/24,0,Precipitation
4/21/24,0,Precipitation
4/22/24,0,Precipitation
4/23/24,0,Precipitation
4/24/24,0,Precipitation
4/25/24,0,Precipitation
4/26/24,0,Precipitation
4/27/24,0,Precipitation
4/28/24,0,Precipitation
4/29/24,0,Precipitation
4/30/24,0,Precipitation
5/1/24,0,Precipitation
5/2/24,0,Precipitation
5/3/24,0,Precipitation
5/4/24,0,Precipitation
5/5/24,4.3,Precipitation
5/6/24,0,Precipitation
5/7/24,0,Precipitation
5/8/24,0,Precipitation
5/9/24,0,Precipitation
5/10/24,0,Precipitation
5/11/24,0,Precipitation
5/12/24,0,Precipitation
5/13/24,0,Precipitation
5/14/24,0,Precipitation
5/15/24,0.51,Precipitation
5/16/24,0,Precipitation
5/17/24,0,Precipitation
5/18/24,0,Precipitation
5/19/24,0,Precipitation
5/20/24,0,Precipitation
5/21/24,0,Precipitation
5/22/24,0,Precipitation
5/23/24,0,Precipitation
5/24/24,0,Precipitation
5/25/24,0,Precipitation
5/26/24,0,Precipitation
5/27/24,0,Precipitation
5/28/24,0,Precipitation
5/29/24,0,Precipitation
5/30/24,0,Precipitation
5/31/24,0,Precipitation
6/1/24,0,Precipitation
6/2/24,0,Precipitation
6/3/24,0,Precipitation
6/4/24,0,Precipitation
6/5/24,0,Precipitation
6/6/24,0,Precipitation
6/7/24,0,Precipitation
6/8/24,0,Precipitation
6/9/24,0,Precipitation
6/10/24,0,Precipitation
6/11/24,0,Precipitation
6/12/24,0,Precipitation
6/13/24,0,Precipitation
6/14/24,0,Precipitation
6/15/24,0,Precipitation
6/16/24,0,Precipitation
6/17/24,0,Precipitation
6/18/24,0,Precipitation
6/19/24,0,Precipitation
6/20/24,0,Precipitation
6/21/24,0,Precipitation
6/22/24,0,Precipitation
6/23/24,0,Precipitation
6/24/24,0,Precipitation
6/25/24,0,Precipitation
6/26/24,0,Precipitation
6/27/24,0,Precipitation
6/28/24,0,Precipitation
6/29/24,0,Precipitation
6/30/24,0,Precipitation
7/1/24,0,Precipitation
7/2/24,0,Precipitation
7/3/24,0,Precipitation
7/4/24,0,Precipitation
7/5/24,0,Precipitation
7/6/24,0,Precipitation
7/7/24,0,Precipitation
7/8/24,0,Precipitation
7/9/24,0,Precipitation
7/10/24,0,Precipitation
7/11/24,0,Precipitation
7/12/24,0,Precipitation
7/13/24,0,Precipitation
7/14/24,0.5,Precipitation
7/15/24,0,Precipitation
7/16/24,0,Precipitation
7/17/24,0,Precipitation
7/18/24,0,Precipitation
7/19/24,0,Precipitation
7/20/24,0,Precipitation
7/21/24,0,Precipitation
7/22/24,0,Precipitation
7/23/24,0,Precipitation
7/24/24,0,Precipitation
7/25/24,0,Precipitation
7/26/24,0,Precipitation
7/27/24,0,Precipitation
7/28/24,0,Precipitation
7/29/24,0,Precipitation
7/30/24,0,Precipitation
7/31/24,0,Precipitation
8/1/24,0,Precipitation
8/2/24,0,Precipitation
8/3/24,0,Precipitation
8/4/24,0,Precipitation
8/5/24,0,Precipitation
8/6/24,0,Precipitation
8/7/24,0,Precipitation
8/8/24,0,Precipitation
8/9/24,0,Precipitation
8/10/24,0,Precipitation
8/11/24,0,Precipitation
8/12/24,0,Precipitation
8/13/24,0,Precipitation
8/14/24,0,Precipitation
8/15/24,0,Precipitation
8/16/24,0,Precipitation
8/17/24,0,Precipitation
8/18/24,0,Precipitation
8/19/24,0,Precipitation
8/20/24,0,Precipitation
8/21/24,0,Precipitation
8/22/24,0,Precipitation
8/23/24,0,Precipitation
8/24/24,0,Precipitation
8/25/24,0,Precipitation
8/26/24,0,Precipitation
8/27/24,0,Precipitation
8/28/24,0,Precipitation
8/29/24,0,Precipitation
8/30/24,0,Precipitation
8/31/24,0,Precipitation
9/1/24,0,Precipitation
9/2/24,0,Precipitation
9/3/24,0,Precipitation
9/4/24,0,Precipitation
9/5/24,0,Precipitation
9/6/24,0,Precipitation
9/7/24,0,Precipitation
9/8/24,0,Precipitation
9/9/24,0,Precipitation
9/10/24,0,Precipitation
9/11/24,0,Precipitation
9/12/24,0,Precipitation
9/13/24,0,Precipitation
9/14/24,0,Precipitation
9/15/24,0,Precipitation
9/16/24,0,Precipitation
9/17/24,0,Precipitation
9/18/24,0,Precipitation
9/19/24,0,Precipitation
9/20/24,0,Precipitation
9/21/24,0,Precipitation
9/22/24,0,Precipitation
9/23/24,0,Precipitation
9/24/24,0,Precipitation
9/25/24,0,Precipitation
9/26/24,0,Precipitation
9/27/24,0,Precipitation
9/28/24,0,Precipitation
9/29/24,0,Precipitation
9/30/24,0,Precipitation
10/1/24,0,Precipitation
10/2/24,0,Precipitation
10/3/24,0,Precipitation
10/4/24,0,Precipitation
10/5/24,0,Precipitation
10/6/24,0,Precipitation
10/7/24,0,Precipitation
10/8/24,0,Precipitation
10/9/24,0,Precipitation
10/10/24,0,Precipitation
10/11/24,0,Precipitation
10/12/24,0,Precipitation
10/13/24,0,Precipitation
10/14/24,0,Precipitation
10/15/24,0,Precipitation
10/16/24,0,Precipitation
10/17/24,0,Precipitation
10/18/24,0,Precipitation
10/19/24,0,Precipitation
10/20/24,0,Precipitation
10/21/24,0,Precipitation
10/22/24,0,Precipitation
10/23/24,0,Precipitation
10/24/24,0,Precipitation
10/25/24,0,Precipitation
10/26/24,0,Precipitation
10/27/24,0,Precipitation
10/28/24,0,Precipitation
10/29/24,0,Precipitation
10/30/24,0,Precipitation
10/31/24,0,Precipitation
11/1/24,0,Precipitation
11/2/24,0,Precipitation
11/3/24,0.5,Precipitation
11/4/24,0,Precipitation
11/5/24,0,Precipitation
11/6/24,0,Precipitation
11/7/24,0,Precipitation
11/8/24,0,Precipitation
11/9/24,0,Precipitation
11/10/24,0,Precipitation
11/11/24,0,Precipitation
11/12/24,0,Precipitation
11/13/24,0,Precipitation
11/14/24,0,Precipitation
11/15/24,0,Precipitation
11/16/24,0,Precipitation
11/17/24,0,Precipitation
11/18/24,0,Precipitation
11/19/24,0,Precipitation
11/20/24,0,Precipitation
11/21/24,0,Precipitation
11/22/24,0,Precipitation
11/23/24,0,Precipitation
11/24/24,0,Precipitation
11/25/24,0,Precipitation
11/26/24,0,Precipitation
11/27/24,0.5,Precipitation
11/28/24,0,Precipitation
11/29/24,0,Precipitation
11/30/24,0,Precipitation
12/1/24,0,Precipitation
12/2/24,0,Precipitation
12/3/24,0,Precipitation
12/4/24,0,Precipitation
12/5/24,0,Precipitation
12/6/24,0,Precipitation
12/7/24,0,Precipitation
12/8/24,0,Precipitation
12/9/24,0,Precipitation
12/10/24,0,Precipitation
12/11/24,0,Precipitation
12/12/24,0,Precipitation
12/13/24,0,Precipitation
12/14/24,0,Precipitation
12/15/24,0,Precipitation
12/16/24,0,Precipitation
12/17/24,0,Precipitation
12/18/24,0,Precipitation
12/19/24,0,Precipitation
12/20/24,0,Precipitation
12/21/24,0,Precipitation
12/22/24,0,Precipitation
12/23/24,0,Precipitation
12/24/24,1.25,Precipitation
12/25/24,0,Precipitation
12/26/24,0,Precipitation
12/27/24,0,Precipitation
12/28/24,0,Precipitation
12/29/24,0,Precipitation
12/30/24,0,Precipitation
12/31/24,0,Precipitation
1/1/25,0,Precipitation
1/2/25,0,Precipitation
1/3/25,0,Precipitation
1/4/25,0,Precipitation
1/5/25,0,Precipitation
1/6/25,0,Precipitation
1/7/25,0,Precipitation
1/8/25,0,Precipitation
1/9/25,0,Precipitation
1/10/25,0,Precipitation
1/11/25,0,Precipitation
1/12/25,0,Precipitation
1/13/25,0,Precipitation
1/14/25,0,Precipitation
1/15/25,0,Precipitation
1/16/25,0,Precipitation
1/17/25,0,Precipitation
1/18/25,0,Precipitation
1/19/25,0,Precipitation
1/20/25,0,Precipitation
1/21/25,0,Precipitation
1/22/25,0,Precipitation
1/23/25,0,Precipitation
1/24/25,0,Precipitation
1/25/25,0,Precipitation
1/26/25,23.11,Precipitation
1/27/25,58.17,Precipitation
1/28/25,0,Precipitation
1/29/25,0,Precipitation
1/30/25,0,Precipitation
1/31/25,0,Precipitation
2/1/25,0,Precipitation
2/2/25,0,Precipitation
2/3/25,0,Precipitation
2/4/25,0,Precipitation
2/5/25,13.39,Precipitation
2/6/25,4.28,Precipitation
2/7/25,8.36,Precipitation
2/8/25,0,Precipitation
2/9/25,0,Precipitation
2/10/25,0,Precipitation
2/11/25,0,Precipitation
2/12/25,5.04,Precipitation
2/13/25,83.52,Precipitation
2/14/25,51.26,Precipitation
