Date,Cloud Cover,source
2011-03-01,0.6506657352,Cloud Cover
2011-04-01,0.7337044817,Cloud Cover
2011-05-01,0.7130172856,Cloud Cover
2011-06-01,0.771781086,Cloud Cover
2011-07-01,0.7773224362,Cloud Cover
2011-08-01,0.7950974229,Cloud Cover
2011-09-01,0.7119927946,Cloud Cover
2011-10-01,0.7304510023,Cloud Cover
2011-11-01,0.8280463332,Cloud Cover
2011-12-01,0.8500198378,Cloud Cover
2012-01-01,0.8356942803,Cloud Cover
2012-02-01,0.8015484453,Cloud Cover
2012-03-01,0.6901490028,Cloud Cover
2012-04-01,0.7301648811,Cloud Cover
2012-05-01,0.7068990386,Cloud Cover
2012-06-01,0.807216116,Cloud Cover
2012-07-01,0.8241783295,Cloud Cover
2012-08-01,0.7619693438,Cloud Cover
2012-09-01,0.5982258272,Cloud Cover
2012-10-01,0.7250150924,Cloud Cover
2012-11-01,0.793281093,Cloud Cover
2012-12-01,0.6896573651,Cloud Cover
2013-01-01,0.75759815,Cloud Cover
2013-02-01,0.7063933685,Cloud Cover
2013-03-01,0.6539044967,Cloud Cover
2013-04-01,0.6966421084,Cloud Cover
2013-05-01,0.6664919265,Cloud Cover
2013-06-01,0.8307212848,Cloud Cover
2013-07-01,0.7728277163,Cloud Cover
2013-08-01,0.790331525,Cloud Cover
2013-09-01,0.7313499263,Cloud Cover
2013-10-01,0.7499316631,Cloud Cover
2013-11-01,0.7582298863,Cloud Cover
2013-12-01,0.7847491942,Cloud Cover
2014-01-01,0.8425192565,Cloud Cover
2014-02-01,0.744102375,Cloud Cover
2014-03-01,0.6775348925,Cloud Cover
2014-04-01,0.7336232457,Cloud Cover
2014-05-01,0.7238193124,Cloud Cover
2014-06-01,0.8240316077,Cloud Cover
2014-07-01,0.8218977729,Cloud Cover
2014-08-01,0.7935929451,Cloud Cover
2014-09-01,0.6688380839,Cloud Cover
2014-10-01,0.7722030995,Cloud Cover
2014-11-01,0.7905838018,Cloud Cover
2014-12-01,0.8200694558,Cloud Cover
2015-01-01,0.8893810932,Cloud Cover
2015-02-01,0.7497048978,Cloud Cover
2015-03-01,0.7470918451,Cloud Cover
2015-04-01,0.7458641755,Cloud Cover
2015-05-01,0.834646265,Cloud Cover
2015-06-01,0.8971667495,Cloud Cover
2015-07-01,0.7917191982,Cloud Cover
2015-08-01,0.7274944384,Cloud Cover
2015-09-01,0.7154782647,Cloud Cover
2015-10-01,0.7785323142,Cloud Cover
2015-11-01,0.7823787763,Cloud Cover
2015-12-01,0.7521188866,Cloud Cover
2016-01-01,0.5697782351,Cloud Cover
2016-02-01,0.794124662,Cloud Cover
2016-03-01,0.6602049622,Cloud Cover
2016-04-01,0.6736898849,Cloud Cover
2016-05-01,0.7651780956,Cloud Cover
2016-06-01,0.7514354754,Cloud Cover
2016-07-01,0.8259641337,Cloud Cover
2016-08-01,0.7602472415,Cloud Cover
2016-09-01,0.7210026622,Cloud Cover
2016-10-01,0.7899479461,Cloud Cover
2016-11-01,0.7478077695,Cloud Cover
2016-12-01,0.8567228202,Cloud Cover
2017-01-01,0.7477375393,Cloud Cover
2017-02-01,0.7377277466,Cloud Cover
2017-03-01,0.7570730485,Cloud Cover
2017-04-01,0.6396074054,Cloud Cover
2017-05-01,0.7735378708,Cloud Cover
2017-06-01,0.7811491954,Cloud Cover
2017-07-01,0.8497342693,Cloud Cover
2017-08-01,0.7853700995,Cloud Cover
2017-09-01,0.7380454343,Cloud Cover
2017-10-01,0.7634285413,Cloud Cover
2017-11-01,0.814407029,Cloud Cover
2017-12-01,0.8443967865,Cloud Cover
2018-01-01,0.8066711009,Cloud Cover
2018-02-01,0.7919978663,Cloud Cover
2018-03-01,0.6488185957,Cloud Cover
2018-04-01,0.7893957636,Cloud Cover
2018-05-01,0.7796969148,Cloud Cover
2018-06-01,0.8280172853,Cloud Cover
2018-07-01,0.8212001654,Cloud Cover
2018-08-01,0.7521303172,Cloud Cover
2018-09-01,0.6806931391,Cloud Cover
2018-10-01,0.774526125,Cloud Cover
2018-11-01,0.7929666947,Cloud Cover
2018-12-01,0.7309623432,Cloud Cover
2019-01-01,0.7344198988,Cloud Cover
2019-02-01,0.7131660071,Cloud Cover
2019-03-01,0.5963024942,Cloud Cover
2019-04-01,0.6799754966,Cloud Cover
2019-05-01,0.7248714465,Cloud Cover
2019-06-01,0.7738520513,Cloud Cover
2019-07-01,0.7901027528,Cloud Cover
2019-08-01,0.6953448254,Cloud Cover
2019-09-01,0.7253386013,Cloud Cover
2019-10-01,0.5841280543,Cloud Cover
2019-11-01,0.8140486839,Cloud Cover
2019-12-01,0.7392283301,Cloud Cover
2020-01-01,0.7267398838,Cloud Cover
2020-02-01,0.6710300297,Cloud Cover
2020-03-01,0.6420829917,Cloud Cover
2020-04-01,0.7516708386,Cloud Cover
2020-05-01,0.7730749896,Cloud Cover
2020-06-01,0.7693886438,Cloud Cover
2020-07-01,0.8565168774,Cloud Cover
2020-08-01,0.8153444091,Cloud Cover
2020-09-01,0.7150144619,Cloud Cover
2020-10-01,0.7108019767,Cloud Cover
2020-11-01,0.7682292512,Cloud Cover
2020-12-01,0.8830965731,Cloud Cover
2021-01-01,0.720955854,Cloud Cover
2021-02-01,0.7960473422,Cloud Cover
2021-03-01,0.7109806772,Cloud Cover
2021-04-01,0.6552543982,Cloud Cover
2021-05-01,0.7728850555,Cloud Cover
2021-06-01,0.7891926601,Cloud Cover
2021-07-01,0.7706750273,Cloud Cover
2021-08-01,0.7779219334,Cloud Cover
2021-09-01,0.7137973991,Cloud Cover
2021-10-01,0.6890389893,Cloud Cover
2021-11-01,0.8028181166,Cloud Cover
2021-12-01,0.8478959137,Cloud Cover
2022-01-01,0.7924667934,Cloud Cover
2022-02-01,0.748671331,Cloud Cover
2022-03-01,0.7781879525,Cloud Cover
2022-04-01,0.582421159,Cloud Cover
2022-05-01,0.6842937973,Cloud Cover
2022-06-01,0.8349387251,Cloud Cover
2022-07-01,0.8435818292,Cloud Cover
2022-08-01,0.8084407398,Cloud Cover
2022-09-01,0.7304990343,Cloud Cover
2022-10-01,0.8055223706,Cloud Cover
2022-11-01,0.8147431701,Cloud Cover
2022-12-01,0.7071373449,Cloud Cover
