Date,Dry Dust Deposition,source
2011-02-01,7.83E-11,Dry Dust Depostion
2011-03-01,4.63E-11,Dry Dust Depostion
2011-04-01,4.52E-11,Dry Dust Depostion
2011-05-01,4.13E-11,Dry Dust Depostion
2011-06-01,3.14E-11,Dry Dust Depostion
2011-07-01,3.06E-11,Dry Dust Depostion
2011-08-01,2.70E-11,Dry Dust Depostion
2011-09-01,1.86E-11,Dry Dust Depostion
2011-10-01,4.35E-11,Dry Dust Depostion
2011-11-01,2.98E-11,Dry Dust Depostion
2011-12-01,1.10E-10,Dry Dust Depostion
2012-01-01,1.36E-10,Dry Dust Depostion
2012-02-01,1.60E-10,Dry Dust Depostion
2012-03-01,1.43E-10,Dry Dust Depostion
2012-04-01,3.90E-11,Dry Dust Depostion
2012-05-01,7.73E-11,Dry Dust Depostion
2012-06-01,4.67E-11,Dry Dust Depostion
2012-07-01,2.44E-11,Dry Dust Depostion
2012-08-01,1.77E-11,Dry Dust Depostion
2012-09-01,1.81E-11,Dry Dust Depostion
2012-10-01,2.29E-11,Dry Dust Depostion
2012-11-01,1.38E-11,Dry Dust Depostion
2012-12-01,5.95E-11,Dry Dust Depostion
2013-01-01,1.02E-10,Dry Dust Depostion
2013-02-01,7.46E-11,Dry Dust Depostion
2013-03-01,1.73E-11,Dry Dust Depostion
2013-04-01,2.84E-11,Dry Dust Depostion
2013-05-01,3.29E-11,Dry Dust Depostion
2013-06-01,5.01E-11,Dry Dust Depostion
2013-07-01,2.53E-11,Dry Dust Depostion
2013-08-01,2.31E-11,Dry Dust Depostion
2013-09-01,2.68E-11,Dry Dust Depostion
2013-10-01,2.87E-11,Dry Dust Depostion
2013-11-01,2.44E-11,Dry Dust Depostion
2013-12-01,8.57E-11,Dry Dust Depostion
2014-01-01,5.99E-11,Dry Dust Depostion
2014-02-01,9.02E-11,Dry Dust Depostion
2014-03-01,7.61E-11,Dry Dust Depostion
2014-04-01,2.93E-11,Dry Dust Depostion
2014-05-01,3.32E-11,Dry Dust Depostion
2014-06-01,5.33E-11,Dry Dust Depostion
2014-07-01,2.18E-11,Dry Dust Depostion
2014-08-01,1.86E-11,Dry Dust Depostion
2014-09-01,2.25E-11,Dry Dust Depostion
2014-10-01,3.06E-11,Dry Dust Depostion
2014-11-01,2.31E-11,Dry Dust Depostion
2014-12-01,8.76E-11,Dry Dust Depostion
2015-01-01,1.54E-10,Dry Dust Depostion
2015-02-01,5.65E-11,Dry Dust Depostion
2015-03-01,1.19E-10,Dry Dust Depostion
2015-04-01,7.29E-11,Dry Dust Depostion
2015-05-01,5.24E-11,Dry Dust Depostion
2015-06-01,6.91E-11,Dry Dust Depostion
2015-07-01,2.44E-11,Dry Dust Depostion
2015-08-01,1.87E-11,Dry Dust Depostion
2015-09-01,2.02E-11,Dry Dust Depostion
2015-10-01,2.92E-11,Dry Dust Depostion
2015-11-01,5.08E-11,Dry Dust Depostion
2015-12-01,1.21E-10,Dry Dust Depostion
2016-01-01,9.76E-11,Dry Dust Depostion
2016-02-01,1.33E-10,Dry Dust Depostion
2016-03-01,6.56E-11,Dry Dust Depostion
2016-04-01,2.78E-11,Dry Dust Depostion
2016-05-01,3.02E-11,Dry Dust Depostion
2016-06-01,4.17E-11,Dry Dust Depostion
2016-07-01,2.87E-11,Dry Dust Depostion
2016-08-01,2.58E-11,Dry Dust Depostion
2016-09-01,2.54E-11,Dry Dust Depostion
2016-10-01,3.02E-11,Dry Dust Depostion
2016-11-01,3.86E-11,Dry Dust Depostion
2016-12-01,1.11E-10,Dry Dust Depostion
2017-01-01,7.28E-11,Dry Dust Depostion
2017-02-01,9.68E-11,Dry Dust Depostion
2017-03-01,6.65E-11,Dry Dust Depostion
2017-04-01,6.53E-11,Dry Dust Depostion
2017-05-01,4.63E-11,Dry Dust Depostion
2017-06-01,3.45E-11,Dry Dust Depostion
2017-07-01,3.16E-11,Dry Dust Depostion
2017-08-01,2.20E-11,Dry Dust Depostion
2017-09-01,2.61E-11,Dry Dust Depostion
2017-10-01,8.10E-11,Dry Dust Depostion
2017-11-01,5.83E-11,Dry Dust Depostion
2017-12-01,1.65E-10,Dry Dust Depostion
2018-01-01,1.76E-10,Dry Dust Depostion
2018-02-01,5.62E-11,Dry Dust Depostion
2018-03-01,8.85E-11,Dry Dust Depostion
2018-04-01,5.77E-11,Dry Dust Depostion
2018-05-01,3.26E-11,Dry Dust Depostion
2018-06-01,7.67E-11,Dry Dust Depostion
2018-07-01,4.95E-11,Dry Dust Depostion
2018-08-01,2.43E-11,Dry Dust Depostion
2018-09-01,3.93E-11,Dry Dust Depostion
2018-10-01,4.52E-11,Dry Dust Depostion
2018-11-01,2.92E-11,Dry Dust Depostion
2018-12-01,9.21E-11,Dry Dust Depostion
2019-01-01,7.11E-11,Dry Dust Depostion
2019-02-01,1.62E-10,Dry Dust Depostion
2019-03-01,1.49E-10,Dry Dust Depostion
2019-04-01,2.82E-11,Dry Dust Depostion
2019-05-01,1.93E-11,Dry Dust Depostion
2019-06-01,3.83E-11,Dry Dust Depostion
2019-07-01,2.62E-11,Dry Dust Depostion
2019-08-01,1.54E-11,Dry Dust Depostion
2019-09-01,2.67E-11,Dry Dust Depostion
2019-10-01,4.95E-11,Dry Dust Depostion
2019-11-01,5.16E-11,Dry Dust Depostion
2019-12-01,8.81E-11,Dry Dust Depostion
2020-01-01,2.04E-10,Dry Dust Depostion
2020-02-01,1.29E-10,Dry Dust Depostion
2020-03-01,7.21E-11,Dry Dust Depostion
2020-04-01,3.56E-11,Dry Dust Depostion
2020-05-01,3.80E-11,Dry Dust Depostion
2020-06-01,7.99E-11,Dry Dust Depostion
2020-07-01,4.15E-11,Dry Dust Depostion
2020-08-01,2.06E-11,Dry Dust Depostion
2020-09-01,2.14E-11,Dry Dust Depostion
2020-10-01,4.54E-11,Dry Dust Depostion
2020-11-01,4.72E-11,Dry Dust Depostion
2020-12-01,3.54E-11,Dry Dust Depostion
2021-01-01,9.82E-11,Dry Dust Depostion
2021-02-01,1.70E-10,Dry Dust Depostion
2021-03-01,7.72E-11,Dry Dust Depostion
2021-04-01,4.07E-11,Dry Dust Depostion
2021-05-01,4.37E-11,Dry Dust Depostion
2021-06-01,6.17E-11,Dry Dust Depostion
2021-07-01,3.05E-11,Dry Dust Depostion
2021-08-01,2.50E-11,Dry Dust Depostion
2021-09-01,3.71E-11,Dry Dust Depostion
2021-10-01,5.56E-11,Dry Dust Depostion
2021-11-01,3.23E-11,Dry Dust Depostion
2021-12-01,9.19E-11,Dry Dust Depostion
2022-01-01,5.78E-11,Dry Dust Depostion
2022-02-01,1.17E-10,Dry Dust Depostion
2022-03-01,1.01E-10,Dry Dust Depostion
2022-04-01,4.28E-11,Dry Dust Depostion
2022-05-01,5.33E-11,Dry Dust Depostion
2022-06-01,6.81E-11,Dry Dust Depostion
2022-07-01,3.05E-11,Dry Dust Depostion
2022-08-01,2.01E-11,Dry Dust Depostion
2022-09-01,2.51E-11,Dry Dust Depostion
2022-10-01,4.43E-11,Dry Dust Depostion
2022-11-01,5.86E-11,Dry Dust Depostion
2022-12-01,5.51E-11,Dry Dust Depostion
