Date,LST,Source
4/30/2017,291.3013734,LST Day
5/31/2017,301.2747154,LST Day
6/30/2017,306.9504359,LST Day
7/31/2017,310.7642214,LST Day
8/31/2017,308.8809584,LST Day
9/30/2017,302.0684119,LST Day
10/31/2017,298.088586,LST Day
11/30/2017,286.7869345,LST Day
12/31/2017,284.9383028,LST Day
1/31/2018,285.2325789,LST Day
2/28/2018,285.9259277,LST Day
3/31/2018,291.293902,LST Day
4/30/2018,294.7401866,LST Day
5/31/2018,300.642526,LST Day
6/30/2018,306.5862011,LST Day
7/31/2018,309.5531891,LST Day
8/31/2018,306.6144373,LST Day
9/30/2018,302.2787924,LST Day
10/31/2018,298.3695863,LST Day
11/30/2018,291.1514028,LST Day
12/31/2018,283.778325,LST Day
1/31/2019,284.6472367,LST Day
2/28/2019,281.7730371,LST Day
3/31/2019,290.4796593,LST Day
4/30/2019,298.1355047,LST Day
5/31/2019,301.3658304,LST Day
6/30/2019,308.952835,LST Day
7/31/2019,311.0873119,LST Day
8/31/2019,310.9672559,LST Day
9/30/2019,304.2667928,LST Day
10/31/2019,297.862044,LST Day
11/30/2019,292.0258985,LST Day
12/31/2019,282.6057545,LST Day
1/31/2020,281.4242446,LST Day
2/29/2020,290.6900504,LST Day
3/31/2020,292.0240355,LST Day
4/30/2020,299.3259109,LST Day
5/31/2020,303.7765426,LST Day
6/30/2020,308.5510701,LST Day
7/31/2020,312.3438353,LST Day
8/31/2020,310.4519017,LST Day
9/30/2020,307.9603043,LST Day
10/31/2020,301.5814389,LST Day
11/30/2020,288.5730242,LST Day
12/31/2020,285.4959078,LST Day
1/31/2021,283.9689606,LST Day
2/28/2021,288.5480741,LST Day
3/31/2021,291.5312656,LST Day
4/30/2021,300.656713,LST Day
5/31/2021,306.4959843,LST Day
6/30/2021,312.0084648,LST Day
7/31/2021,313.8877421,LST Day
8/31/2021,309.2394692,LST Day
9/30/2021,308.4867838,LST Day
10/31/2021,297.7775688,LST Day
11/30/2021,289.9474779,LST Day
12/31/2021,281.3134623,LST Day
1/31/2022,285.6373732,LST Day
2/28/2022,291.231585,LST Day
3/31/2022,296.0211146,LST Day
4/30/2022,295.95733,LST Day
5/31/2022,302.1278479,LST Day
6/30/2022,308.7678222,LST Day
7/31/2022,312.8905918,LST Day
8/31/2022,313.1842866,LST Day
9/30/2022,306.2255605,LST Day
10/31/2022,300.7663216,LST Day
11/30/2022,285.6999518,LST Day
1/31/2002,274.4960113,LST Night
2/28/2002,279.8571599,LST Night
3/31/2002,280.8415872,LST Night
4/30/2002,283.4250244,LST Night
5/31/2002,287.2442541,LST Night
6/30/2002,292.4266021,LST Night
7/31/2002,294.5644412,LST Night
8/31/2002,293.8102808,LST Night
9/30/2002,290.5780444,LST Night
10/31/2002,285.1710966,LST Night
11/30/2002,281.4177772,LST Night
12/31/2002,276.8841555,LST Night
1/31/2003,279.2002427,LST Night
2/28/2003,277.1590007,LST Night
3/31/2003,279.4611616,LST Night
4/30/2003,278.7809644,LST Night
5/31/2003,286.0778127,LST Night
6/30/2003,292.3478751,LST Night
7/31/2003,295.9549021,LST Night
8/31/2003,293.1688001,LST Night
9/30/2003,291.8688463,LST Night
10/31/2003,289.1427777,LST Night
11/30/2003,277.9048466,LST Night
12/31/2003,272.2037872,LST Night
1/31/2004,275.8375801,LST Night
2/29/2004,276.8245163,LST Night
3/31/2004,284.9655522,LST Night
4/30/2004,285.1816341,LST Night
5/31/2004,286.0436785,LST Night
6/30/2004,292.1746356,LST Night
7/31/2004,294.1163087,LST Night
8/31/2004,293.9970035,LST Night
9/30/2004,290.5878478,LST Night
10/31/2004,284.0588851,LST Night
11/30/2004,279.3709252,LST Night
12/31/2004,278.3147183,LST Night
1/31/2005,275.3123565,LST Night
2/28/2005,279.0756422,LST Night
3/31/2005,280.0787908,LST Night
4/30/2005,279.9988619,LST Night
5/31/2005,285.2882486,LST Night
6/30/2005,290.0700678,LST Night
7/31/2005,296.0629734,LST Night
8/31/2005,294.0057728,LST Night
9/30/2005,288.7317824,LST Night
10/31/2005,285.5633915,LST Night
11/30/2005,280.6657679,LST Night
12/31/2005,276.6735884,LST Night
1/31/2006,276.7165071,LST Night
2/28/2006,278.5115747,LST Night
3/31/2006,271.7353813,LST Night
4/30/2006,282.9371975,LST Night
5/31/2006,288.3660076,LST Night
6/30/2006,293.3792289,LST Night
7/31/2006,295.7800384,LST Night
8/31/2006,293.1873722,LST Night
9/30/2006,289.7441321,LST Night
10/31/2006,285.8521426,LST Night
11/30/2006,279.6923671,LST Night
12/31/2006,275.9975442,LST Night
1/31/2007,276.3662576,LST Night
2/28/2007,277.2464833,LST Night
3/31/2007,282.8710422,LST Night
4/30/2007,281.3812967,LST Night
5/31/2007,288.3038663,LST Night
6/30/2007,290.2953448,LST Night
7/31/2007,294.3114484,LST Night
8/31/2007,293.6838945,LST Night
9/30/2007,287.172564,LST Night
10/31/2007,284.5950055,LST Night
11/30/2007,281.2435543,LST Night
12/31/2007,274.0624663,LST Night
1/31/2008,274.2451298,LST Night
2/29/2008,277.837943,LST Night
3/31/2008,279.1138519,LST Night
4/30/2008,283.383767,LST Night
5/31/2008,287.8347018,LST Night
6/30/2008,291.7057486,LST Night
7/31/2008,294.9178464,LST Night
8/31/2008,295.0179649,LST Night
9/30/2008,291.0548219,LST Night
10/31/2008,284.7100281,LST Night
11/30/2008,283.3696414,LST Night
12/31/2008,275.602129,LST Night
1/31/2009,278.6635193,LST Night
2/28/2009,275.9010978,LST Night
3/31/2009,280.2370228,LST Night
4/30/2009,282.0565086,LST Night
5/31/2009,289.1231546,LST Night
6/30/2009,290.4215344,LST Night
7/31/2009,294.8586049,LST Night
8/31/2009,293.4647149,LST Night
9/30/2009,290.5000542,LST Night
10/31/2009,284.0196419,LST Night
11/30/2009,279.9493368,LST Night
12/31/2009,274.7650229,LST Night
1/31/2010,274.6306443,LST Night
2/28/2010,277.7011948,LST Night
3/31/2010,277.8652939,LST Night
4/30/2010,281.1455361,LST Night
5/31/2010,282.0727975,LST Night
6/30/2010,290.1268325,LST Night
7/31/2010,294.7556048,LST Night
8/31/2010,293.4139881,LST Night
9/30/2010,290.3991757,LST Night
10/31/2010,285.5012514,LST Night
11/30/2010,279.2451813,LST Night
12/31/2010,274.8067752,LST Night
1/31/2011,276.9157818,LST Night
2/28/2011,276.7391665,LST Night
3/31/2011,277.2902206,LST Night
4/30/2011,279.4312919,LST Night
5/31/2011,284.1911817,LST Night
6/30/2011,289.6404184,LST Night
7/31/2011,292.7377821,LST Night
8/31/2011,293.199614,LST Night
9/30/2011,291.0497468,LST Night
10/31/2011,286.0773393,LST Night
11/30/2011,279.5345051,LST Night
12/31/2011,276.322265,LST Night
1/31/2012,277.3883881,LST Night
2/29/2012,278.1365426,LST Night
3/31/2012,274.0072929,LST Night
4/30/2012,283.4149566,LST Night
5/31/2012,287.7187469,LST Night
6/30/2012,291.3658267,LST Night
7/31/2012,293.7414248,LST Night
8/31/2012,294.1864656,LST Night
9/30/2012,292.2118791,LST Night
10/31/2012,286.6344043,LST Night
11/30/2012,280.4557048,LST Night
12/31/2012,275.3685469,LST Night
1/31/2013,275.8204496,LST Night
2/28/2013,277.8231672,LST Night
3/31/2013,280.4218082,LST Night
4/30/2013,284.9639473,LST Night
5/31/2013,288.6159172,LST Night
6/30/2013,292.4706659,LST Night
7/31/2013,294.7400664,LST Night
8/31/2013,292.4219016,LST Night
9/30/2013,288.7520349,LST Night
10/31/2013,284.8199851,LST Night
11/30/2013,281.1634323,LST Night
12/31/2013,276.9457726,LST Night
1/31/2014,280.4886967,LST Night
2/28/2014,275.9429742,LST Night
3/31/2014,281.2955861,LST Night
4/30/2014,285.9512117,LST Night
5/31/2014,288.2019117,LST Night
6/30/2014,293.0048536,LST Night
7/31/2014,295.0927886,LST Night
8/31/2014,293.5777217,LST Night
9/30/2014,291.8520757,LST Night
10/31/2014,286.8509395,LST Night
11/30/2014,280.7008481,LST Night
12/31/2014,281.6480777,LST Night
1/31/2015,280.0991094,LST Night
2/28/2015,280.4850285,LST Night
3/31/2015,283.6766177,LST Night
4/30/2015,285.1139414,LST Night
5/31/2015,285.7638451,LST Night
6/30/2015,294.472286,LST Night
7/31/2015,294.6236813,LST Night
8/31/2015,292.5170584,LST Night
9/30/2015,291.0882849,LST Night
10/31/2015,287.9496187,LST Night
11/30/2015,277.2551494,LST Night
12/31/2015,274.2006503,LST Night
1/31/2016,276.0750119,LST Night
2/29/2016,281.6323685,LST Night
3/31/2016,280.2055908,LST Night
4/30/2016,285.5680699,LST Night
5/31/2016,289.0556028,LST Night
6/30/2016,292.5264623,LST Night
7/31/2016,294.0932394,LST Night
8/31/2016,293.2188778,LST Night
9/30/2016,290.1699896,LST Night
10/31/2016,283.9566961,LST Night
11/30/2016,279.9389881,LST Night
12/31/2016,275.9724737,LST Night
1/31/2017,275.2597263,LST Night
2/28/2017,275.6512969,LST Night
3/31/2017,281.4836679,LST Night
4/30/2017,279.9493768,LST Night
5/31/2017,288.1944194,LST Night
6/30/2017,292.5354592,LST Night
7/31/2017,296.0195493,LST Night
8/31/2017,295.5811071,LST Night
9/30/2017,289.4631537,LST Night
10/31/2017,286.6968746,LST Night
11/30/2017,279.5602052,LST Night
12/31/2017,278.709097,LST Night
1/31/2018,275.5877416,LST Night
2/28/2018,276.8536342,LST Night
3/31/2018,279.3538661,LST Night
4/30/2018,282.5312303,LST Night
5/31/2018,287.5442107,LST Night
6/30/2018,292.5439029,LST Night
7/31/2018,294.9038902,LST Night
8/31/2018,292.895372,LST Night
9/30/2018,289.3385574,LST Night
10/31/2018,287.0639442,LST Night
11/30/2018,281.661283,LST Night
12/31/2018,276.9202147,LST Night
1/31/2019,276.9148836,LST Night
2/28/2019,273.1805244,LST Night
3/31/2019,278.6697877,LST Night
4/30/2019,285.4102521,LST Night
5/31/2019,285.3771356,LST Night
6/30/2019,292.2203137,LST Night
7/31/2019,294.5199671,LST Night
8/31/2019,294.0654729,LST Night
9/30/2019,289.1084475,LST Night
10/31/2019,284.6417365,LST Night
11/30/2019,281.9687552,LST Night
12/31/2019,275.6194733,LST Night
1/31/2020,275.4858856,LST Night
2/29/2020,279.6982339,LST Night
3/31/2020,279.3230515,LST Night
4/30/2020,285.1375984,LST Night
5/31/2020,288.8592251,LST Night
6/30/2020,291.4376815,LST Night
7/31/2020,294.0341037,LST Night
8/31/2020,294.5034546,LST Night
9/30/2020,292.275033,LST Night
10/31/2020,287.2629933,LST Night
11/30/2020,278.1656406,LST Night
12/31/2020,277.3415664,LST Night
1/31/2021,276.5173118,LST Night
2/28/2021,277.6831461,LST Night
3/31/2021,279.3010692,LST Night
4/30/2021,283.9566861,LST Night
5/31/2021,288.9191249,LST Night
6/30/2021,293.3078285,LST Night
7/31/2021,295.2031791,LST Night
8/31/2021,293.1441789,LST Night
9/30/2021,291.3239898,LST Night
10/31/2021,282.4947655,LST Night
11/30/2021,282.3158322,LST Night
12/31/2021,274.9474178,LST Night
1/31/2022,277.5490689,LST Night
2/28/2022,279.4619405,LST Night
3/31/2022,282.0141347,LST Night
4/30/2022,282.7867593,LST Night
5/31/2022,286.7193912,LST Night
6/30/2022,290.8496021,LST Night
7/31/2022,295.0772576,LST Night
8/31/2022,294.6382287,LST Night
9/30/2022,291.7232751,LST Night
10/31/2022,286.1227893,LST Night
11/30/2022,278.8865354,LST Night
