Date,Precipitation,source
2016-06-01,3.26E-05,Total Precipitation
2016-07-01,8.04E-05,Total Precipitation
2016-08-01,7.30E-05,Total Precipitation
2016-09-01,9.42E-05,Total Precipitation
2016-10-01,9.00E-05,Total Precipitation
2016-11-01,7.78E-05,Total Precipitation
2016-12-01,2.54E-05,Total Precipitation
2017-01-01,4.76E-06,Total Precipitation
2017-02-01,1.26E-06,Total Precipitation
2017-03-01,2.82E-06,Total Precipitation
2017-04-01,1.26E-06,Total Precipitation
2017-05-01,1.54E-05,Total Precipitation
2017-06-01,4.73E-05,Total Precipitation
2017-07-01,8.19E-05,Total Precipitation
2017-08-01,9.33E-05,Total Precipitation
2017-09-01,0.00010614101,Total Precipitation
2017-10-01,5.65E-05,Total Precipitation
2017-11-01,5.51E-05,Total Precipitation
2017-12-01,2.81E-05,Total Precipitation
2018-01-01,3.04E-06,Total Precipitation
2018-02-01,5.85E-06,Total Precipitation
2018-03-01,1.02E-06,Total Precipitation
2018-04-01,1.67E-06,Total Precipitation
2018-05-01,4.00E-06,Total Precipitation
2018-06-01,3.48E-05,Total Precipitation
2018-07-01,4.84E-05,Total Precipitation
2018-08-01,6.14E-05,Total Precipitation
2018-09-01,7.36E-05,Total Precipitation
2018-10-01,7.16E-05,Total Precipitation
2018-11-01,4.09E-05,Total Precipitation
2018-12-01,5.71E-06,Total Precipitation
2019-01-01,1.96E-06,Total Precipitation
2019-02-01,9.88E-07,Total Precipitation
2019-03-01,1.17E-06,Total Precipitation
2019-04-01,2.91E-06,Total Precipitation
2019-05-01,8.59E-06,Total Precipitation
2019-06-01,3.12E-05,Total Precipitation
2019-07-01,6.93E-05,Total Precipitation
2019-08-01,6.31E-05,Total Precipitation
2019-09-01,9.43E-05,Total Precipitation
2019-10-01,3.93E-05,Total Precipitation
2019-11-01,4.99E-05,Total Precipitation
2019-12-01,7.74E-06,Total Precipitation
2020-01-01,1.38E-06,Total Precipitation
2020-02-01,8.42E-07,Total Precipitation
2020-03-01,4.01E-06,Total Precipitation
2020-04-01,5.50E-06,Total Precipitation
2020-05-01,1.52E-05,Total Precipitation
2020-06-01,4.45E-05,Total Precipitation
2020-07-01,7.98E-05,Total Precipitation
2020-08-01,9.57E-05,Total Precipitation
2020-09-01,8.39E-05,Total Precipitation
2020-10-01,4.48E-05,Total Precipitation
2020-11-01,5.25E-05,Total Precipitation
2020-12-01,6.69E-05,Total Precipitation
2021-01-01,5.74E-06,Total Precipitation
2021-02-01,1.59E-06,Total Precipitation
2021-03-01,2.00E-06,Total Precipitation
2021-04-01,2.27E-06,Total Precipitation
2021-05-01,8.75E-06,Total Precipitation
2021-06-01,4.85E-05,Total Precipitation
2021-07-01,5.31E-05,Total Precipitation
2021-08-01,8.51E-05,Total Precipitation
2021-09-01,7.35E-05,Total Precipitation
2021-10-01,4.59E-05,Total Precipitation
2021-11-01,5.53E-05,Total Precipitation
2021-12-01,2.89E-05,Total Precipitation
2022-01-01,2.57E-05,Total Precipitation
2022-02-01,8.15E-06,Total Precipitation
2022-03-01,2.10E-06,Total Precipitation
2022-04-01,2.53E-06,Total Precipitation
2022-05-01,9.15E-06,Total Precipitation
2022-06-01,3.63E-05,Total Precipitation
2022-07-01,7.37E-05,Total Precipitation
2022-08-01,9.46E-05,Total Precipitation
2022-09-01,6.33E-05,Total Precipitation
2022-10-01,7.87E-05,Total Precipitation
2022-11-01,4.47E-05,Total Precipitation
2022-12-01,2.14E-05,Total Precipitation
