date,type,TWS
May-2013,Terrestrial water storage,-42.1298
Jun-2013,Terrestrial water storage,-7.8475
Jul-2013,Terrestrial water storage,-60.2816
Aug-2013,Terrestrial water storage,
Sep-2013,Terrestrial water storage,
Oct-2013,Terrestrial water storage,-49.6293
Nov-2013,Terrestrial water storage,1.9332
Dec-2013,Terrestrial water storage,-14.3643
Jan-2014,Terrestrial water storage,-37.0073
Feb-2014,Terrestrial water storage,
Mar-2014,Terrestrial water storage,-17.6864
Apr-2014,Terrestrial water storage,-83.3583
May-2014,Terrestrial water storage,-95.6381
Jun-2014,Terrestrial water storage,-119.0002
Jul-2014,Terrestrial water storage,
Aug-2014,Terrestrial water storage,-116.8111
Sep-2014,Terrestrial water storage,-97.1376
Oct-2014,Terrestrial water storage,-103.8575
Nov-2014,Terrestrial water storage,-70.6375
Dec-2014,Terrestrial water storage,
Jan-2015,Terrestrial water storage,-65.9722
Feb-2015,Terrestrial water storage,-60.2769
Mar-2015,Terrestrial water storage,-103.0432
Apr-2015,Terrestrial water storage,-69.8103
May-2015,Terrestrial water storage,-70.5238
Jun-2015,Terrestrial water storage,
Jul-2015,Terrestrial water storage,-73.2024
Aug-2015,Terrestrial water storage,-55.3731
Sep-2015,Terrestrial water storage,0.8145
Oct-2015,Terrestrial water storage,
Nov-2015,Terrestrial water storage,
Dec-2015,Terrestrial water storage,-131.9655
Jan-2016,Terrestrial water storage,-109.7198
Feb-2016,Terrestrial water storage,-62.1271
Mar-2016,Terrestrial water storage,-66.5252
Apr-2016,Terrestrial water storage,
May-2016,Terrestrial water storage,-60.093
Jun-2016,Terrestrial water storage,-54.7912
Jul-2016,Terrestrial water storage,-34.8741
Aug-2016,Terrestrial water storage,-116.0443
Sep-2016,Terrestrial water storage,
Oct-2016,Terrestrial water storage,
Nov-2016,Terrestrial water storage,-56.3515
Dec-2016,Terrestrial water storage,-85.9576
Jan-2017,Terrestrial water storage,-52.8808
Feb-2017,Terrestrial water storage,
Mar-2017,Terrestrial water storage,-47.5374
Apr-2017,Terrestrial water storage,-36.8898
May-2017,Terrestrial water storage,-23.199
Jun-2017,Terrestrial water storage,-80.9992
Jul-2017,Terrestrial water storage,
Aug-2017,Terrestrial water storage,
Sep-2017,Terrestrial water storage,
Oct-2017,Terrestrial water storage,
Nov-2017,Terrestrial water storage,
Dec-2017,Terrestrial water storage,
Jan-2018,Terrestrial water storage,
Feb-2018,Terrestrial water storage,
Mar-2018,Terrestrial water storage,
Apr-2018,Terrestrial water storage,
May-2018,Terrestrial water storage,
Jun-2018,Terrestrial water storage,-16.8987
Jul-2018,Terrestrial water storage,-68.4608
Aug-2018,Terrestrial water storage,
Sep-2018,Terrestrial water storage,
Oct-2018,Terrestrial water storage,-215.5577
Nov-2018,Terrestrial water storage,-141.0149
Dec-2018,Terrestrial water storage,-102.7558
Jan-2019,Terrestrial water storage,-118.0565
Feb-2019,Terrestrial water storage,-92.3196
Mar-2019,Terrestrial water storage,-73.1044
Apr-2019,Terrestrial water storage,-102.5746
May-2019,Terrestrial water storage,-82.4654
Jun-2019,Terrestrial water storage,-143.5021
Jul-2019,Terrestrial water storage,-121.0538
Aug-2019,Terrestrial water storage,-131.026
Sep-2019,Terrestrial water storage,-164.09
Oct-2019,Terrestrial water storage,-84.4802
Nov-2019,Terrestrial water storage,-70.5958
Dec-2019,Terrestrial water storage,-48.7985
Jan-2020,Terrestrial water storage,-41.2687
Feb-2020,Terrestrial water storage,-43.5637
Mar-2020,Terrestrial water storage,-55.5142
Apr-2020,Terrestrial water storage,-97.1382
May-2020,Terrestrial water storage,-58.564
Jun-2020,Terrestrial water storage,25.5556
Jul-2020,Terrestrial water storage,48.7569
Aug-2020,Terrestrial water storage,-11.1795
Sep-2020,Terrestrial water storage,-48.8039
Oct-2020,Terrestrial water storage,-6.0629
Nov-2020,Terrestrial water storage,-56.5854
Dec-2020,Terrestrial water storage,-67.5696
Jan-2021,Terrestrial water storage,-79.621
Feb-2021,Terrestrial water storage,-114.8521
Mar-2021,Terrestrial water storage,-137.0907
Apr-2021,Terrestrial water storage,-152.8228
May-2021,Terrestrial water storage,-148.4585
Jun-2021,Terrestrial water storage,-68.0554
Jul-2021,Terrestrial water storage,-131.657
Aug-2021,Terrestrial water storage,-100.5034
Sep-2021,Terrestrial water storage,-141.3198
Oct-2021,Terrestrial water storage,-88.5466
Nov-2021,Terrestrial water storage,-78.462
Dec-2021,Terrestrial water storage,-79.567
Jan-2022,Terrestrial water storage,-57.2656
Feb-2022,Terrestrial water storage,-43.1058
Mar-2022,Terrestrial water storage,-65.9422
Apr-2022,Terrestrial water storage,-58.2686
May-2022,Terrestrial water storage,-16.2234
Jun-2022,Terrestrial water storage,-14.0608
Jul-2022,Terrestrial water storage,-174.5918
